raw name,cleaned name,first_appearance,last_appearance,count,title
A Gianluca Cairo,A. Gianluca Cairo,2016-02-15,2017-08-28,4,Chief of Staff
A. Giancarlo Cairo,A. Giancarlo Cairo,2016-08-11,2016-08-11,1,Chief of Staff
A. Gianluca Cairo,A. Gianluca Cairo,2016-01-27,2018-01-30,8,Chief of Staff
A. Maclean,A. Maclean,2014-05-23,2015-09-18,17,Director of Legislation
A. Raynell Andreychuk,A. Raynell Andreychuk,2018-11-08,2018-11-08,1,Senator
A. Reynell Andreychuk,A. Raynell Andreychuk,2018-05-09,2018-05-09,1,Senator
A.j. Cheema,A.J. Cheema,2016-09-22,2017-03-07,2,"Special Assistant, West"
A.r. Thompson,A.R. Thompson,2013-03-14,2013-03-14,1,Colonel
Aadil Ahmad,Aadil Ahmad,2023-05-09,2023-05-09,1,Implementation Coordinator
Aadil Nathani,Aadil Nathani,2022-08-08,2023-01-30,17,Policy Advisor
Aain Brandon,Alain Brandon,2010-04-01,2010-04-01,1,Policy Advisor
Aaina Sood,Aaina Sood,2023-12-12,2024-11-26,6,Policy Advisor
Aamar Yaseen,Aamar Yaseen,2018-01-26,2019-02-22,13,"Regional Advisor, Western and Northern Canada | Parliamentary Secretary's Assistant"
Aaran Macpherson,Aaran Macpherson,2024-12-16,2024-12-16,1,"Assistant Deputy Minister, Science"
Aaran Mcpherson,Arran Mcpherson,2018-06-18,2018-06-18,1,Assistant Deputy Minister
Aaron Allison,Aaron Allison,2013-07-08,2013-07-08,1,Policy Intern
Aaron Annable,Aaron Annable,2017-05-15,2021-11-29,4,Advisor
Aaron Bailie,Aaron Bailie,2021-07-05,2021-07-08,4,Manager
Aaron Baille,Aaron Baillie,2018-05-29,2018-05-29,1,Manager
Aaron Baillie,Aaron Baillie,2018-04-09,2024-11-14,35,Manager
Aaron Bell,Aaron Bell,2013-08-14,2015-06-03,6,Parliamentary Assistant
Aaron Casselman,Aaron Casselman,2019-02-07,2020-09-16,2,Parliamentary Assistant
Aaron Foster,Aaron Foster,2018-11-06,2018-11-06,1,"Executive Director, Chief Agriculture Negotiator"
Aaron Fowler,Aaron Fowler,2014-10-01,2025-06-05,285,Chief Agriculture Negotiator and Director General
Aaron Frank,Aaron Frank,2015-07-16,2015-10-28,2,Director
Aaron Gadner,Aaron Gairdner,2015-07-28,2015-07-31,3,Chief of Staff
Aaron Gaidner,Aaron Gairdner,2011-01-24,2011-01-24,1,Chief of Staff
Aaron Gairdener,Aaron Gairdner,2008-09-17,2012-03-27,4,Chief of Staff
Aaron Gairdiner,Aaron Gairdner,2008-12-02,2008-12-02,2,Chief of Staff
Aaron Gairdner,Aaron Gairdner,2008-07-25,2015-10-27,218,Chief of Staff
Aaron Gairdnew,Aaron Gairdner,2015-09-29,2015-09-29,1,Chief of Staff
Aaron Gardener,Aaron Gairdner,2009-04-06,2009-04-06,1,Chief of Staff
Aaron Gardinar,Aaron Gairdner,2013-12-03,2013-12-03,1,Chief of Staff
Aaron Gardiner,Aaron Gairdner,2010-10-08,2015-06-03,4,Chief of Staff
Aaron Gardner,Aaron Gairdner,2012-09-12,2015-10-05,24,Chief of Staff
Aaron Garnder,Aaron Gairdner,2013-03-27,2013-03-27,1,Chief of Staff
Aaron Gartner,Aaron Gairdner,2008-12-09,2008-12-09,1,Chief of Staff
Aaron Gaurdber,Aaron Gairdner,2012-03-13,2012-03-13,1,Chief of Staff
Aaron Gill,Aaron Gill,2020-03-25,2022-06-23,2,Advisor
Aaron Hall,Aaron Hall,2022-04-01,2025-05-14,5,Director
Aaron Hayes,Aaron Hayes,2015-04-01,2015-04-01,1,Chief of Staff
Aaron Hines,Aaron Hines,2013-04-23,2013-11-14,2,Policy Advisor
Aaron Hoskin,Aaron Hoskin,2016-06-08,2025-02-28,45,Senior Manager
Aaron Hoskins,Aaron Hoskins,2016-06-08,2020-04-29,2,Director
Aaron Hunt,Aaron Hunt,2011-11-16,2012-04-17,8,Parliamentary Assistant
Aaron Hynes,Aaron Hynes,2011-12-13,2015-07-31,99,Director of Policy
Aaron J. Mccrorie,Aaron J. Mccrorie,2020-11-14,2024-11-21,76,Associate Assistant Deputy Minister
Aaron Law,Aaron Law,2022-09-13,2022-09-13,1,"Monitoring Technician, Fish and Fish Habitat Protection Program"
Aaron Ludmer,Aaron Gairdner,2020-02-24,2023-07-17,4,Chief of Staff
Aaron Mccorie,Aaron Mccorie,2018-03-26,2018-03-26,1,Acting Assistant Deputy Minister
Aaron Mccronie,Aaron Mccronie,2020-02-10,2020-02-10,1,"Associate Assistant Deputy Minister, Safety and Security"
Aaron Mccrorie,Aaron Mccrorie,2015-04-23,2024-05-07,62,"Associate Assistant Deputy Minister, Safety and Security"
Aaron Morgan,Aaron Morgan,2018-01-16,2018-01-16,1,Director General
Aaron Pearce,Aaron Pearce,2023-09-26,2024-05-08,9,Policy Analyst
Aaron Raymond,Aaron Raymond,2019-04-10,2025-02-05,6,Chief of Staff
Aaron Rosenberg,Aaron Rosenberg,2023-01-09,2023-05-09,3,Business Income Tax Division
Aaron Sabourin,Aaron Sabourin,2018-04-09,2018-09-19,2,"Director, Military Family Resource Centre"
Aaron Scheewe,Aaron Scheewe,2008-07-10,2015-06-18,49,Chief of Staff
Aaron Schewee,Aaron Schewee,2013-06-03,2015-05-27,3,Chief of Staff
Aaron Seal,Aaron Seal,2010-03-12,2012-04-24,6,Policy Advisor
Aaron Sheewe,Aaron Sheewe,2008-07-11,2013-01-31,4,Director of Policy Affairs and FEDNOR
Aaron Silver,Aaron Silver,2012-12-14,2015-07-04,23,"Director, Parliamentary Affairs and Issues Management"
Aaron Snow,Aaron Snow,2018-10-30,2018-10-30,1,Chief Executive Officer
Aaron Spector,Aaron Spector,2013-09-25,2013-09-25,1,"Manager, Research"
Aaron Sydor,Aaron Sydor,2021-06-17,2024-11-04,2,"Deputy Chief Economist, Foreign Affairs"
Aaron Wu,Aaron Wudrick,2024-10-29,2024-10-29,1,Director of Policy
Aaron Wudrick,Aaron Wudrick,2024-07-16,2025-05-15,74,Director of Policy
Aaronjot Gill,Aaronjot Gill,2019-04-18,2025-02-08,7,Senior Regional Communications Advisor
Aarti Sayal,Aarti Sayal,2024-07-18,2024-07-18,2,Intern
Abba Zanna,Abba Zanna,2024-11-05,2024-11-05,1,Acting High Commissioner for the Federal Republic of Nigeria
Abbie Garwood,Abbie Garwood,2021-04-27,2021-04-27,1,Policy Advisor
Abbie Hoffman,Abby Hoffman,2019-08-12,2019-08-12,1,Assistant Deputy Minister
Abbie Smith,Abbie Smith,2021-09-07,2021-09-07,1,Manager
