raw name,cleaned name,first_appearance,last_appearance,count,title
B. Ernewein,B. Ernewein,2014-02-24,2014-07-29,6,Director General
B. Mario Pinto,B. Mario Pinto,2015-02-12,2015-03-30,2,President
Babara Henry,Babara Henry,2021-01-29,2021-01-29,1,Director of Operations
Badrane Erhioui,Badrane Erhioui,2021-06-22,2021-06-22,2,Manager
Baetz Candice,Baetz Candice,2013-12-11,2013-12-11,1,"Special Assistant, Policy"
Bafetigue Ouattara,Bafetigue Ouattara,2024-05-28,2024-05-28,1,Ambassador to Canada
Bagnell Larry,Bagnell Larry,2020-10-08,2020-10-08,1,Member of Parliament
Bahadur Singh Vinning,Bahadur Vinning,2017-12-08,2017-12-08,1,"Regional Affairs Manager, Pacific"
Bahadur Vinning,Bahadur Vinning,2017-05-23,2021-06-02,18,"Regional Affairs Manager, Pacific"
Baharnesh Teshome,Baharnesh Teshome,2025-04-15,2025-05-06,3,Trade Commissioner
Bahoz Dara Aziz,Bahoz Dara Aziz,2023-05-24,2024-05-14,5,Press Secretary
Bahoz Daraaziz,Bahoz Daraaziz,2022-09-23,2022-09-23,1,Issues Management
Bailey Dennis,Bailey Dennis,2023-06-13,2023-06-13,1,Parliamentary Assistant
Bains Aneeta,Bains Aneeta,2019-05-08,2019-05-08,1,Assistant Deputy Minister and Chief Digital Officer
Bains Navdeep,Bains Navdeep,2010-10-20,2015-12-11,3,"Minister, Innovation, Science and Economic Development"
Baird John,Baird John,2010-12-03,2010-12-03,1,Minister
Baker Evan,Baker Evan,2008-07-15,2008-07-15,1,"Special Assistant, Policy"
Bal Ghosal,Bal Ghosal,2011-08-04,2011-08-04,1,"Minister, Sport"
Bal Gosal,Bal Gosal,2011-06-22,2015-06-18,129,Member of Parliament
Bal Gossal,Bal Gossal,2012-03-01,2014-10-06,2,Member of Parliament
Bal Gpsal,Bal Gpsal,2013-07-30,2013-07-30,1,Minister of State
Balil Khan,Balil Khan,2012-06-12,2012-06-12,1,"Senior Advisor, Policy"
Ballantyne Meena,Ballantyne Meena,2008-12-10,2008-12-10,1,Assistant Deputy Minister
Balsharan Rakhra,Balsharan Rakhra,2023-10-24,2023-10-24,2,Deputy Director
Baltej Dhillon,Baltej Dhillon,2025-06-11,2025-06-11,1,Senator
Baltej Singh Dhillon,Baltej Singh Dhillon,2025-03-27,2025-03-27,1,Senator
Ban Lobb,Ben Lobb,2011-10-19,2011-10-19,1,Member of Parliament
Banafsheh Shamdani,Banafsheh Shamdani,2022-12-16,2022-12-16,1,Parliamentary Assistant
Banerjee Ritu,Banerjee Ritu,2023-06-05,2023-06-05,1,Assistant Deputy Minister
Banjamin Martiner,Banjamin Martiner,2017-10-17,2017-10-17,1,Director of Operations
