raw name,cleaned name,first_appearance,last_appearance,count,title
C. Doyle,C. Doyle,2008-09-03,2009-03-22,2,Deputy Minister
Cahtherine Mckenna,Cahtherine Mckenna,2017-05-25,2017-05-25,1,Minister
Cailin Rodgers,Cailin Rodgers,2011-03-06,2015-08-11,40,Director of Communications
Cailin Rogers,Cailin Rodgers,2011-03-06,2014-04-24,2,Director of Communications
Cairo Gianluca,Cairo Gianluca,2016-07-13,2016-07-13,1,Chief of Staff
Cait Hurcomb,Cait Hurcomb,2014-02-19,2014-02-19,1,Policy Analyst
Caitlan Szymberski,Caitlan Szymberski,2020-04-17,2020-04-17,1,Senior Policy Advisor
Caitlin 'szymberski,Caitlin Szmberski,2020-12-01,2020-12-01,1,Policy Advisor
Caitlin Caitlin Szymberski,Caitlin Caitlin Szymberski,2018-05-28,2018-05-28,1,Policy Advisor
Caitlin Cullan-boudreau,Caitlin Cullan-boudreau,2020-02-05,2020-02-05,1,"Policy Advisor, Central and Arctic"
Caitlin Goodmurphy,Caitlin Goodmurphy,2022-05-18,2022-05-18,1,Policy Analyst
Caitlin Gropp,Caitlin Gropp,2016-01-15,2016-05-31,2,"Director, Parliamentary Affairs"
Caitlin Hurcomb,Caitlin Hurcomb,2022-02-11,2022-02-11,1,Manager | Senior Policy Advisor
Caitlin Imrie,Caitlin Imrie,2008-10-02,2008-10-02,1,Policy Advisor
Caitlin Jackson,Caitlin Jackson,2017-03-03,2017-03-13,3,Senior Communications Advisor
Caitlin Macgregor,Caitlin Macgregor,2013-09-05,2014-02-20,2,Constituency Assistant
Caitlin Morisson,Caitlin Morisson,2024-11-20,2024-11-20,1,"Senior Intergovernmental Relations Officer, ISC Ontario Region"
Caitlin Morrison,Caitlin Morrison,2024-12-13,2025-02-05,2,Senior Intergovernmental Relations Officer
Caitlin Morrisson,Caitlin Morrison,2025-02-05,2025-02-05,1,Senior Intergovernmental Relations Officer
Caitlin Mounce,Caitlin Mounce,2017-06-02,2017-09-21,32,"Special Assistant, Policy"
Caitlin Mullan-boudeau,Caitlin Cullan-boudreau,2019-04-09,2019-04-09,1,"Policy Advisor, Central and Arctic"
Caitlin Mullan-boudreau,Caitlin Mullan-boudreau,2017-05-10,2023-05-30,52,Director of Operations
Caitlin Mullan-bourdeau,Caitlin Mullan-boudreau,2019-04-10,2020-05-07,2,Director of Operations
Caitlin Mullan-bourdreau,Caitlin Mullan-bourdreau,2019-04-25,2019-04-25,1,Special Assistant
Caitlin Syzmberski,Caitlin Syzmberski,2017-12-05,2017-12-05,1,Parliamentary Secretary Assistant
Caitlin Szmberski,Caitlin Szmberski,2018-04-19,2018-04-19,1,Policy Advisor
Caitlin Szymberberski,Caitlin Szymberberski,2018-06-19,2018-06-19,1,Policy Advisor
Caitlin Szymberski,Caitlin Szymberski,2016-05-02,2023-05-30,90,Director of Policy
Caitlin Williamson,Caitlin Williamson,2023-02-23,2023-02-23,1,Policy Advisor
Caitlin Workman,Caitlin Workman,2016-10-14,2018-07-20,43,Chief of Staff
Caitlyn Hyndman,Caitlyn Hyndman,2018-12-06,2018-12-06,1,Policy and Program Analyst
Caitlyn Szymberski,Caitlyn Szymberski,2017-10-26,2017-10-26,1,Parliamentary Secretary Assistant
Cal Hegge,Cal Hegge,2010-02-05,2010-02-05,1,Chief Financial Officer
Caleb Loftus,Caleb Loftus,2022-03-17,2024-11-04,3,Senior Rulings Officer
Caleb Walker,Caleb Walker,2021-03-04,2021-03-25,2,Director of Land Requirements
Caleigh Garland,Caleigh Garland,2020-01-27,2023-07-20,11,Director of Operations
Cali Kehoe,Cali Kehoe,2024-06-25,2024-06-25,1,Policy Analyst
Calinda Brown,Calinda Brown,2012-02-06,2013-03-21,2,Legislative Assistant
Calkins Blaine,Calkins Blaine,2011-11-02,2014-09-05,2,Member of Parliament
Callie Franson,Callie Franson,2021-05-03,2024-04-16,2,Legislative Assistant
Callie Stewart,Callie Stewart,2017-11-14,2019-02-04,2,Director
Callum Haney,Callum Haney,2024-02-06,2024-05-28,4,"Manager, Parliamentary Affairs and Issues"
Callum Sorger-brock,Callum Sorger-brock,2023-04-27,2023-04-27,1,"Desk Officer, West Bank and Gaza Division"
Callum Wintle,Callum Wintle,2024-10-03,2024-10-03,3,Parliamentary Assistant
Calvin Christiansen,Calvin Christiansen,2019-01-09,2022-01-06,3,Director General
Calvin H So,Calvin H So,2023-08-11,2023-08-11,1,"Senior Policy Advisor, Trade"
Calvin Jia,Calvin Jia,2023-11-07,2023-11-07,1,Parliamentary Assistant
Calvin Klatt,Calvin Klatt,2019-01-29,2019-01-29,1,Chief Geodesist of Canada
Calvin Yan,Calvin Yan,2013-05-10,2013-05-10,1,"Director, Portfolio"
Cam Boulet,Cam Boulet,2014-11-25,2014-11-25,1,Chief of Staff
Cam Carruthers,Cam Carruthers,2010-11-25,2019-05-28,27,Executive Director
Cam Curruthers,Cam Carruthers,2018-02-08,2018-02-08,1,Executive Director
Cam Dahl,Cam Dahl,2008-12-15,2008-12-15,1,Commissioner
Cam Do,Cam Do,2021-03-15,2023-11-29,10,Executive Director
Cam Holmstrom,Cam Holmstrom,2016-11-22,2016-11-22,2,Legislative Assistant
Cam Mitchell,Cam Mitchell,2017-09-20,2017-09-20,1,"Special Assistant, Policy"
Cam Vidler,Cam Vidler,2016-02-16,2017-05-09,42,Senior Policy Advisor
Cam Vidley,Cam Vidley,2016-12-01,2016-12-01,1,Senior Economic Advisor
Cam Yung,Cam Yung,2023-02-28,2024-10-24,7,Policy Advisor
Camellia Wong,Camellia Wong,2025-02-10,2025-02-11,3,"Deputy Director, Communications"
Cameraon Mitchell,Cameraon Mitchell,2016-11-23,2016-11-23,1,Policy Advisor
