raw name,cleaned name,first_appearance,last_appearance,count,title
D Findlay,D Findlay,2008-08-15,2008-08-15,1,Minister
D'amours Elisabeth,Damours Elisabeth,2022-01-24,2022-01-24,1,Policy Advisor
D'javon Brown,Djavon Brown,2016-06-02,2016-06-02,1,Summer Associate
D.v. Jacobsen,D.V. Jacobsen,2008-10-16,2008-10-16,1,"Chief of Staff, Materiel Group"
D.w. Lowthian,D.W. Lowthian,2013-08-13,2013-08-13,1,"Colonel Wing Commander, 8 WComd"
Daanish Hamish,Daanish Hamish,2023-01-11,2023-06-30,12,Senior Account Executive
Daanish Hussein,Daanish Hamish,2022-08-24,2022-08-24,1,Senior Account Executive
Dabrusin Julie,Dabrusin Julie,2023-05-08,2023-05-08,1,Parliamentary Secretary
Dafna Kohen,Dafna Kohen,2021-06-01,2021-06-01,1,Assistant Director
Dagenais Eric,Dagenais Eric,2019-10-23,2019-10-23,1,Acting Senior Assistant Deputy Minister
Dahlia James,Dahlia James,2021-05-12,2025-01-15,154,Policy Advisor
Dahlia Stein,Dahlia Stein,2008-08-07,2024-03-01,97,Director of Operations
Dahlia Stern,Dahlia Stern,2017-02-08,2017-02-08,1,Director of Policy
Daignault Benoit,Daignault Benoit,2009-03-26,2009-03-26,1,Senior Vice President
Daina Stanley,Daina Stanley,2024-08-07,2024-08-07,1,Analyst
Dakota Burgin,Dakota Burgin,2018-04-24,2022-09-22,2,Director of Communications
Dale Brown,Dale Brown,2019-01-21,2019-01-21,1,Manager
Dale Bryant,Dale Bryant,2016-09-06,2016-09-06,1,Constituency Assistant
Dale Desrochers,Dale Desrochers,2023-09-27,2023-09-27,1,"Section Head, Salmonid Enhancement Program, South Coast Area"
Dale Eilser,Dale Eilser,2012-09-28,2012-09-28,1,Assistant Deputy Minister
Dale Eisler,Dale Eisler,2008-11-21,2023-11-28,53,Assistant Deputy Minister
Dale Isler,Dale Isler,2012-03-06,2012-03-06,1,Assistant Deputy Minister
Dale Leclair,Dale Leclair,2022-07-18,2022-08-03,2,Director
Dale Lynch,Dale Lynch,2022-10-19,2022-10-19,1,Regional Economics Officer
Dale Marsden,Dale Marsden,2022-08-17,2025-04-01,5,Deputy Director
Dale Mckeague,Dale Mckeague,2012-05-16,2014-11-27,5,Director
Dale Palmeter,Dale Palmeter,2016-01-14,2020-08-10,67,Director of Issues Management
Dale Parmeter,Dale Palmeter,2019-07-02,2019-07-02,1,Director of Issues Management
Dale Pegg,Dale Pegg,2019-02-04,2019-02-04,1,Director
Dale Reding,Dale Reding,2012-02-17,2014-11-25,2,Director General
Dale Trueman,Dale Trueman,2023-02-02,2023-02-02,1,Equipment Management Team
Dale Walsh,Dale Walsh,2019-04-08,2019-04-08,1,Lands Registration Officer
Dalia Kimmel,Dalia Kimmel,2014-02-24,2014-11-20,2,Parliamentary Secretary | Caucus Liaison
Dallas Neudorf,Dallas Neudorf,2022-12-14,2022-12-14,1,Office Manager
Dalphond Pierre,Dalphond Pierre,2019-04-02,2019-04-02,1,Senator
Dalton Rogers,Dalton Rogers,2018-01-30,2018-01-30,1,Special Assistant to Member of Parliament
Dalton Wakely,Dalton Wakely,2022-02-23,2024-05-06,15,"Special Assistant, Atlantic Desk"
Dami Fakolujo,Dami Fakolujo,2023-07-13,2023-07-13,1,Policy Analyst
Damian Crawley,Damian Crawley,2018-10-30,2023-07-21,2,Senior Advisor
Damian Crawlwy,Damian Crawlwy,2018-07-13,2018-07-13,1,"Manager, Strategic Air Policy"
Damian Ferrese,Damian Ferrese,2018-02-15,2018-02-15,1,Consulate General of Canada
Damian O'brien,Damian Obrien,2017-09-26,2019-02-14,2,Senior Advisor
Damiem Obrien,Damian Obrien,2019-02-26,2019-02-26,1,Senior Advisor
Damien C. Kurek,Damien C. Kurek,2020-06-25,2025-03-07,243,Member of Parliament
Damien Kurak,Damien C. Kurek,2022-09-27,2022-09-27,1,Member of Parliament
Damien Kurek,Damien C. Kurek,2019-10-25,2025-03-07,41,Member of Parliament
Damien Kuriek,Damien C. Kurek,2023-02-21,2023-02-21,1,Member of Parliament
Damien O'brian,Damien Obrien,2020-04-01,2020-04-01,1,"Senior Advisor, Stakeholder Relations"
Damien O'brien,Damien Obrien,2018-11-22,2024-05-27,55,"Senior Advisor, Stakeholder Relations"
Damien Obrien,Damien Obrien,2019-01-29,2019-05-14,3,"Senior Advisor, Stakeholder Relations"
Damien Pilon,Damien Pilon,2022-02-11,2022-05-26,4,Parliamentary Assistant
Damoff Pam,Damoff Pam,2022-12-20,2022-12-20,1,Member of Parliament
Damon Perreault,Damon Perreault,2013-08-13,2013-08-13,1,"Commanding Officer, 426 Squadron"
Damon Rourke,Damon Rourke,2017-12-21,2025-03-05,3,Director
Dan Alba,Dan Alba,2018-12-11,2018-12-11,1,"Opposition Shadow Minister, Innovation, Science and Economic Development"
Dan Albas,Dan Albas,2011-06-10,2025-05-30,599,Member of Parliament
Dan Albas Albas,Dan Albas,2020-11-30,2020-11-30,1,Member of Parliament
Dan Albus,Dan Albas,2011-10-24,2011-10-24,1,Member of Parliament
Dan Arnold,Dan Arnold,2016-08-16,2021-10-25,18,Director
Dan Arsenault,Dan Arsenault,2012-01-31,2017-11-22,6,"Director, Parliamentary Affairs"
Dan Bardour,Dan Bardour,2022-05-11,2022-05-11,1,Director General
Dan Bastien,Dan Bastien,2009-02-13,2009-02-13,2,New Substances Division
Dan Baxter,Dan Baxter,2011-06-29,2013-02-07,23,"Special Assistant, Projects and Processes"
Dan Blakie,Dan Blakie,2017-02-23,2017-02-23,1,Member of Parliament
Dan Breznitz,Dan Breznitz,2022-05-18,2022-05-18,1,Visiting Economist
Dan Brien,Dan Brien,2016-11-23,2018-05-11,14,"Director, Communications"
Dan Brock,Dan Brock,2009-09-23,2009-09-23,1,Principal Secretary
Dan Brown,Dan Brown,2014-02-24,2014-02-24,1,Member of Parliament
Dan Calof,Dan Calof,2009-02-05,2019-02-19,4,"Senior Chief, Market Policy"
Dan Charbanneau,Dan Charbanneau,2024-07-06,2024-07-06,1,Chief of Staff
Dan Charbonneau,Dan Charbonneau,2023-02-14,2024-10-21,7,Chief of Staff
Dan Charlebois,Dan Charlebois,2023-02-08,2023-02-08,1,Director General
Dan Charrette,Dan Charrette,2020-02-26,2020-02-26,1,Deputy Superintendent
Dan Christmas,Dan Christmas,2017-03-29,2021-04-15,17,Senator
Dan Coady,Dan Coady,2013-04-23,2013-04-23,1,Director
Dan Cody,Dan Cody,2009-10-19,2013-04-24,19,Policy Advisor
Dan Cooper,Dan Cooper,2019-03-15,2025-03-14,5,Senior Director
Dan Costello,Dan Costello,2013-09-11,2022-10-24,21,Assistant Deputy Minister
Dan Cowan,Dan Cowan,2013-03-06,2014-10-21,2,Senior Market Analyst
Dan Danagher,Dan Danagher,2011-12-01,2011-12-01,1,Deputy Assistant Commissioner
Dan Davis,Dan Davis,2013-05-30,2022-10-04,31,"Chief, Standards and Regulations"
Dan Draghici,Dan Draghici,2011-06-14,2011-08-22,2,Business Advisor
Dan Dufort,Dan Dufort,2012-12-12,2013-01-23,2,Stakeholder Relations
Dan Dugas,Dan Dugas,2009-03-28,2014-11-12,4,Director of Communications
Dan Duguay,Dan Duguay,2009-07-06,2009-11-19,3,"Director, Industrial and Regional Benefits Aerospace"
Dan Duncan,Dan Duncan,2010-03-27,2013-11-15,3,Constituency Assistant
Dan E Mcdougall,Dan Mcdougall,2017-01-10,2017-01-10,1,Assistant Deputy Minister
Dan E. Mcdougall,Dan Mcdougall,2013-08-06,2016-08-25,3,Assistant Deputy Minister
Dan Florizon,Dan Florizon,2010-06-29,2010-06-29,1,Deputy Minister
Dan Gardiner,Dan Gardiner,2024-08-19,2024-08-19,1,Program Officer
Dan Grubb,Dan Grubb,2016-11-14,2018-04-18,12,"Special Assistant, Regional Economic Development"
Dan Harris,Dan Harris,2011-08-18,2015-06-11,63,Member of Parliament
Dan Herman,Dan Herman,2016-08-16,2018-02-07,12,Executive Director
Dan Holbrook,Dan Holbrook,2015-01-22,2015-01-22,1,"Manager, Head Office, Western Regional Operations - Rail"
Dan King,Dan King,2013-05-15,2013-07-10,7,Policy Advisor
Dan Kingsbury,Dan Kingsbury,2015-12-16,2020-04-09,2,Trade Policy Officer
Dan Knowland,Dan Knowland,2014-10-06,2014-10-06,1,Chief of Staff
Dan Koldyk,Dan Koldyk,2019-12-12,2019-12-12,1,Chief Representative
Dan Kucirek,Dan Kucirek,2023-12-06,2023-12-06,1,"Regional Advisor, Ontario"
Dan Lang,Dan Lang,2010-09-29,2015-04-29,19,Senator
Dan Langer,Dan Langer,2017-04-03,2017-04-05,6,Advance
Dan Lauzon,Dan Lauzon,2018-12-14,2021-10-05,12,Chief of Staff
Dan Lessier,Dan Lessier,2018-12-11,2018-12-11,1,Policy Assistant
Dan Lindenas,Dan Lindenas,2014-05-22,2021-01-12,44,Director of Policy
Dan Lindneas,Dan Lindenas,2020-05-08,2020-05-08,1,Director of Policy
Dan Lloyd,Dane Lloyd,2020-04-09,2020-04-09,1,Member of Parliament
Dan Lovell,Dan Lovell,2020-01-28,2020-01-28,1,Executive Assistant
Dan Lowell,Dan Lowell,2016-01-22,2016-01-22,1,Senior Assistant
Dan Lusier,Dan Lusier,2019-05-30,2019-09-24,3,Director of Policy
Dan Lussier,Dan Lussier,2017-08-22,2019-12-13,269,Policy Advisor
Dan Lutz,Dan Lutz,2010-06-10,2010-06-10,1,"Director, Integrated Traceability"
Dan Macdougall,Dan Mcdougall,2015-09-15,2016-10-04,4,Assistant Deputy Minister
Dan Mackenzie,Dave Mackenzie,2017-05-05,2017-05-05,1,Member of Parliament
Dan Mader,Dan Mader,2008-07-02,2012-02-22,140,Director of Policy
Dan Maher,Dan Maher,2012-02-21,2012-03-05,2,Chief of Staff
Dan Maizer,Dan Mazier,2022-10-27,2022-10-27,2,Member of Parliament
