raw name,cleaned name,first_appearance,last_appearance,count,title
E Souillar,E Souillar,2017-05-26,2017-05-26,1,Advisor
E Van Der Velden,E Van Der Velden,2017-12-08,2017-12-08,1,Director
E. Dreeshen,Ed Dreeshan,2011-03-01,2011-03-01,1,Member of Parliament
E. Kormarnicki,Ed Kormarnicki,2011-03-01,2011-03-01,1,Member of Parliament
Eaine Hood,Eaine Hood,2018-10-23,2018-10-23,1,Director General
Eammon Horan-lunney,Eamonn Horan-lunney,2023-05-30,2023-08-23,2,Chief of Staff
Eammonn Horan-lunney,Eamonn Horan-lunney,2023-07-24,2023-07-24,1,Chief of Staff
Eamon Horan-lunney,Eamonn Horan-lunney,2016-05-31,2016-05-31,1,Chief of Staff
Eamon Mcguinty,Eamonn Mcguinty,2022-06-02,2022-06-02,1,Senior Policy Advisor
Eamon Schwartz,Eamon Schwartz,2022-11-15,2022-11-15,1,Atlantic Regional Advisor
Eamonn Horan-lunney,Eamonn Horan-lunney,2016-03-24,2023-07-13,14,Chief of Staff
Eamonn Horon-lunney,Eamonn Horon-lunney,2016-05-04,2016-05-04,1,Legislative Assistant
Eamonn Mcginty,Eamonn Mcginty,2022-02-03,2022-02-08,2,Advisor to Minister of the Environment
Eamonn Mcguinty,Eamonn Mcguinty,2022-01-18,2025-05-27,406,Senior Policy Advisor
Eamonn Mcgunity,Eamonn Mcguinty,2022-06-02,2022-06-02,1,Senior Policy Advisor
Eamonn Schwartz,Eamonn Schwartz,2023-02-02,2024-11-05,33,"Policy Advisor, DEI"
Earl Dreeschen,Earl Dreeshen,2012-05-07,2017-05-16,3,Member of Parliament
Earl Dreeshan,Earl Dreeshen,2009-01-09,2024-11-20,76,Member of Parliament
Earl Dreeshen,Earl Dreeshen,2010-10-05,2025-02-18,576,Member of Parliament
Earl Dreishen,Earl Dreeshen,2012-09-25,2012-09-25,1,Member of Parliament
Earl Dresheen,Earl Dreeshen,2018-10-16,2024-04-30,4,Member of Parliament
Earl Dresshen,Earl Dreeshen,2011-03-01,2011-03-01,2,Member of Parliament
Earl Maynard,Earl Maynard,2013-11-28,2014-12-01,10,Director of Communications
Earl Nichol,Earl Nichol,2022-06-21,2024-04-19,5,"Director, Transport"
Earmonn Horan-lunney,Eamonn Horan-lunney,2022-10-17,2022-10-17,1,Chief of Staff
Easter Wayne,Easter Wayne,2013-07-07,2013-07-07,1,Member of Parliament
Easton Jason,Easton Jason,2022-05-19,2022-05-19,1,Chief of Staff
Ebyan Ali,Ebyan Ali,2020-02-25,2020-02-25,1,Legislative Assistant
Ecateryna Nova,Ecateryna Nova,2022-03-16,2022-05-31,5,Regional Advisor
Ed Belkaloul,Ed Belkaloul,2015-01-22,2015-01-22,1,"Manager, Standards and Performance, Eastern Regional Operations"
Ed Crupi,Ed Crupi,2013-09-18,2016-06-07,4,"Senior Policy Advisor, Regulatory"
Ed Dreeshan,Ed Dreeshan,2024-05-23,2024-05-23,1,Member of Parliament
Ed Drover,Ed Drover,2013-02-13,2013-02-13,1,Chair of the Board
Ed Ed,Ed Ed,2019-06-20,2019-06-20,1,Member of Parliament
Ed Fast,Ed Fast,2010-09-14,2025-03-19,790,Member of Parliament
Ed Holder,Ed Holder,2010-10-19,2015-07-15,205,Member of Parliament
Ed Hutchinson,Ed Hutchinson,2024-05-29,2024-05-29,3,Press Secretary
