raw name,cleaned name,first_appearance,last_appearance,count,title
G. Breitkreuz,G. Breitkreuz,2011-03-01,2011-03-01,1,Member of Parliament
G. Merideth,G. Merideth,2008-07-21,2008-07-21,1,Assistant Deputy Minister
G. Scott White,G. Scott White,2016-03-09,2016-03-09,1,Director
G.a. Malcolm Brown,G.A. Malcolm Brown,2009-11-10,2009-11-10,1,Associate Deputy Minister
Gabby Garwood,Gabby Garwood,2023-02-01,2023-02-01,1,Policy Advisor
Gabe Frost,Gabe Frost,2018-08-29,2018-08-29,1,Senior Policy Analyst
Gabe Menard,Gabe Menard,2024-02-02,2024-02-02,1,Policy and Research Analyst
Gabrela Dejager,Gabrela Dejager,2024-11-21,2024-11-21,1,Director General
Gabriel Bourget,Gabriel Bourget,2020-03-27,2024-07-02,25,"Special Assistant, Quebec and Atlantic"
Gabriel Broderick,Gabriel Broderick,2022-07-29,2025-05-26,44,Senior Policy Advisor
Gabriel Brunet,Gabriel Brunet,2022-02-15,2024-06-06,27,Communications Advisor to the Minister
Gabriel Cyr,Gabriel Cyr,2017-06-20,2023-09-27,139,Policy Advisor
Gabriel Delorme,Gabriel Delorme,2018-10-02,2024-11-29,4,Advisor
Gabriel Frost,Gabriel Frost,2021-11-23,2021-12-02,3,Officer
Gabriel Gosselin,Gabriel Gosselin,2019-08-21,2019-08-21,1,Policy Officer
Gabriel Guay,Gabriel Guay,2025-04-09,2025-04-09,1,"Supervisor, Data Collection Operations"
Gabriel Hardy,Gabriel Hardy,2025-06-10,2025-06-10,1,Member of Parliament
Gabriel Mastico,Gabriel Mastico,2012-10-04,2012-10-04,1,"Economist, Microeconomic Policy Analysis"
Gabriel Mezzari,Gabriel Mezzari,2022-11-03,2023-11-15,6,"Regional Advisor, QC"
Gabriel Ngo,Gabriel Ngo,2018-07-24,2018-07-24,1,Advisor
Gabriel Picard,Gabriel Picard,2019-07-29,2019-07-29,1,Scientific Evaluator
Gabriel Piette,Gabriel Piette,2010-02-02,2010-02-02,1,"Director, Science"
Gabriel Sainte-marie,Gabriel Sainte-marie,2015-11-16,2024-11-20,9,Member of Parliament
Gabriel St-hilaire,Gabriel St-hilaire,2016-09-08,2019-05-14,5,Director and Legislative Assistant
Gabriel St-marie,Gabriel Ste-marie,2016-05-31,2017-04-04,2,Member of Parliament
Gabriel St. Marie,Gabriel Ste-marie,2018-06-07,2018-06-07,3,Member of Parliament
Gabriel Ste Marie,Gabriel Ste-marie,2020-03-10,2020-03-10,1,Member of Parliament
Gabriel Ste-marie,Gabriel Ste-marie,2016-01-19,2025-05-15,224,Member of Parliament
Gabriel Ste. Marie,Gabriel Ste-marie,2020-09-14,2021-02-09,3,Member of Parliament
