raw name,cleaned name,first_appearance,last_appearance,count,title
Habib Massoud,Habib Massoud,2011-12-23,2013-09-24,8,Assistant Director
Hadeel April Aziz,Hadeel April Aziz,2023-02-09,2025-01-31,54,"Special Assistant, Ontario"
Hadeel Aziz,Hadeel Aziz,2021-12-06,2025-01-28,24,"Special Assistant, Ontario"
Hadell Aziz,Hadell Aziz,2023-03-01,2023-03-01,1,Regional Advisor
Hafeez A Shaikh,Hafeez A Shaikh,2012-01-13,2012-01-13,1,Industrial Technology Advisor
Haidn Barbara,Haidn Barbara,2023-09-01,2023-09-01,1,"Senior Advisor, Policy and Partnership"
Haidy Tadros,Haidy Tadros,2017-04-04,2017-04-04,1,Director General
Haig Mccarrell,Haig Mccarrell,2023-08-16,2023-08-16,1,Director
Hailey Rumbolt,Hailey Rumbolt,2017-05-30,2017-05-30,1,Staffer
Hailey Short,Hailey Short,2023-09-06,2023-11-14,2,Senior Communications Advisor
Hajaleh Hersi,Hujaleh Hersi,2017-12-08,2017-12-08,1,Policy Advisor
Hajdu Patricia,Patty Hajdu,2018-05-01,2018-05-01,1,Minister
Hajdu Patty,Patty Hajdu,2022-10-19,2022-10-19,1,Minister
Haley Hodgson,Haley Hodgson,2022-01-17,2023-04-13,3,Press Secretary
Haley Juniper,Haley Juniper,2022-01-12,2024-05-10,6,Communications Advisor
Haley Maziarski,Haley Maziarski,2022-09-20,2022-09-20,1,Policy Analyst
Haley Quipp,Haley Quipp,2022-01-14,2022-01-14,1,Staffer
Halima Meyers,Halima Meyers,2023-02-20,2024-07-24,2,Investment Analyst
Hall Karen,Hall Karen,2018-01-11,2018-01-11,1,Director General
Hall Mathew,Hall Mathew,2025-02-28,2025-02-28,1,Senior Policy Advisor
Hallan Jasraj Singh,Hallan Jasraj Singh,2023-02-09,2023-02-09,1,Member of Parliament
Halleh Koleyni,Halleh Koleyni,2021-06-28,2021-08-31,2,"Deputy Director, G20"
Hallie Stacey-sullivan,Hallie Stacey-sullivan,2023-04-03,2023-04-03,1,"Advisor, Issues and Parliamentary Affairs"
Halucha Paul,Halucha Paul,2018-01-17,2024-12-18,4,Deputy Clerk
Halverson Soren,Halverson Soren,2019-02-28,2019-02-28,1,Associate Assistant Deputy Minister
Hamid Mohamed,Hamid Mohamed,2009-06-29,2009-06-29,1,Assistant Program Director
Hamid Mohammed,Hamid Mohammed,2024-09-18,2024-09-18,1,Executive Assistant
Hamid Ould Brahim,Hamid Ould Brahim,2012-05-15,2013-09-16,5,CTI
Hamid Sarreshtehdari,Hamid Sarreshtehdari,2023-10-13,2023-10-13,1,Advisor
Hamish Wright,Hamish Wright,2022-01-14,2022-12-08,49,Policy Advisor
Hamzawi Nancy,Hamzawi Nancy,2022-02-11,2022-02-11,1,Assistant Deputy Minister
Han Dong,Han Dong,2020-01-29,2024-08-01,106,Member of Parliament
Hana Abramovici,Hana Abramovici,2018-02-21,2018-02-21,1,"Manager, Science Division"
Hana Button,Hanna Button,2017-05-17,2017-05-17,1,Director of Policy
Hana Kokanovic,Hana Kokanovic,2016-08-25,2019-07-16,46,Senior Policy Advisor
Hana Maqsood,Hana Maqsood,2023-10-19,2024-12-06,4,Acting Manager
Hana Mihaldz,Hana Mihaldz,2022-02-01,2022-02-01,1,"Desk Officer, Central America"
Hanan Abramovici,Hanan Abramovici,2019-07-29,2020-10-01,3,Manager
