raw name,cleaned name,first_appearance,last_appearance,count,title
I Foucher,I Foucher,2017-07-17,2017-07-17,1,Senior Policy Advisor
I. Shugart,I. Shugart,2008-09-03,2008-09-03,1,Associate Deputy Minister
Iain Huddleston,Iain Huddleston,2021-01-21,2021-01-21,1,"Director General, Air Readiness"
Iain Mcphee,Iain Mcphee,2017-11-23,2017-11-23,1,Parliamentary Assistant
Iain Stewart,Iain Stewart,2008-09-11,2023-12-04,454,President
Iain Stewart Stewart,Iain Stewart Stewart,2019-05-06,2019-05-06,1,President
Iain Stuart,Iain Stewart,2018-06-12,2018-06-12,1,President
Iain Tyrell,Iain Tyrell,2015-11-03,2024-05-07,4,Manager | Senior Policy Advisor
Iain Tyrrell,Iain Tyrrell,2014-10-28,2021-11-30,15,Manager | Senior Policy Advisor
Iam Hamilton,Ian Hamilton,2022-02-23,2022-02-23,1,Senior Policy Advisor
Ian Alexander,Ian Alexander,2010-09-13,2022-10-24,11,Executive Director
Ian Anderson,Ian Anderson,2019-03-26,2019-03-26,1,Director General
Ian Baggley,Ian Baggley,2018-02-26,2023-06-28,7,Director General
Ian Birney,Ian Birney,2010-11-18,2010-12-16,2,Associate Deputy Minister
Ian Boelens,Ian Boelens,2020-08-04,2024-10-30,7,Project Engineer
Ian Boucher,Ian Faucher,2024-04-10,2024-04-10,1,Chief of Staff
Ian Brodie,Ian Brodie,2015-04-17,2015-04-17,1,Chief of Staff
Ian Burch,Ian Burch,2020-11-19,2023-01-20,7,Senior Analyst
Ian Burchett,Ian Burchett,2016-11-29,2019-09-06,5,Director General
Ian Burchette,Ian Burchette,2019-08-20,2019-08-20,1,Assistant Deputy Minister
Ian Burk Cameron,Ian Burk Cameron,2021-08-03,2021-08-03,1,Press Secretary
Ian Burney,Ian Burney,2008-10-23,2019-10-08,139,Assistant Deputy Minister
Ian C. Poulter,Ian C. Poulter,2010-09-20,2010-09-20,1,Deputy Chief of Staff
Ian Cameron,Ian Cameron,2020-06-29,2023-06-15,33,Press Secretary
Ian Campbell,Ian Campbell,2010-08-17,2011-11-14,2,Assistant Director
Ian Carr,Ian Carr,2021-11-17,2021-11-18,2,Director of Communications
Ian Chatwell,Ian Chatwell,2022-10-26,2024-02-06,3,Regional Director
Ian Christensen,Ian Christensen,2013-12-10,2013-12-10,1,"Assistant Chief, Financial Stability Department"
Ian Cooper,Ian Cooper,2013-11-12,2013-11-12,1,"Senior Analyst, Team Lead"
Ian Crump,Ian Crump,2023-10-17,2023-10-17,1,Policy Advisor
Ian D Mac,Ian D Mac,2008-10-16,2008-10-16,1,Director General
Ian Dahlman,Ian Dahlman,2016-08-24,2018-01-18,3,Analyst
Ian Denis,Ian Denis,2019-04-09,2019-04-30,2,Parliamentary Assistant
Ian Dhalman,Ian Dahlman,2018-01-18,2018-01-18,3,Analyst
Ian Disend,Ian Disend,2017-03-23,2023-12-19,6,Expert Advisor
Ian Donaldson,Ian Donaldson,2024-01-11,2024-05-14,2,Director
Ian Dunbar,Ian Dunbar,2025-05-06,2025-05-06,1,Chief of Staff
Ian Fall,Ian Fall,2009-10-01,2021-06-08,21,"Director, Investment Management"
Ian Faucher,Ian Faucher,2016-09-23,2024-02-09,10,Chief of Staff
Ian Fouccher,Ian Fouccher,2017-05-01,2017-05-01,1,Senior Policy Advisor
Ian Foucer,Ian Foucer,2018-09-28,2018-09-28,1,"Deputy Director, Financial Sector Policy"
Ian Fouche,Ian Fouche,2016-08-17,2016-08-17,1,"Policy Advisor, Financial Sector"
Ian Foucher,Ian Foucher,2015-12-07,2025-06-05,1671,Chief of Staff
Ian Fouchere,Ian Foucher,2017-05-11,2017-05-11,1,Chief of Staff
Ian Founcher,Ian Fouccher,2018-07-25,2018-07-25,1,Senior Policy Advisor
Ian Fournier,Ian Fournier,2019-07-02,2019-07-02,1,Director of Policy
Ian G West,Ian West,2012-02-15,2012-02-15,1,Chief of Staff
Ian G. West,Ian West,2013-12-03,2013-12-03,1,Chief of Staff
Ian Gallagher,Ian Gallagher,2015-04-01,2015-06-08,5,"Special Assistant, Policy"
Ian Genno,Ian Genno,2019-10-24,2025-04-30,4,Strategic Advisor
Ian Gillespie,Ian Gillespie,2013-02-21,2023-06-16,17,Director
Ian Gillespie - Gillespie,Ian Gillespie - Gillespie,2021-08-30,2021-08-30,1,Director
Ian Glen,Ian Glen,2011-08-11,2011-08-11,1,Chair
Ian Graham,Ian Graham,2008-11-28,2011-12-01,3,Vice President
Ian H.c. Todd,Ian Todd,2009-05-06,2009-05-06,1,Chief of Staff
Ian Hamilton,Ian Hamilton,2021-03-30,2022-09-14,5,Senior Policy Advisor
Ian Highbottom,Ian Highbottom,2023-05-10,2023-05-10,1,Deputy Director
Ian Hodges,Ian Hodges,2016-08-31,2016-08-31,1,Senior Advisor
Ian J. Burchette,Ian J. Burchette,2013-05-13,2013-05-13,1,Consul General
Ian Jack,Ian Jack,2009-01-26,2009-01-26,1,"Deputy Commissioner, Competition"
Ian Kenney,Ian Kenney,2017-09-27,2025-02-10,2,Special Advisor
Ian Kenny,Ian Kenny,2017-08-31,2017-08-31,1,"Executive Director, Youth"
Ian Kerr,Ian Kerr,2022-02-10,2022-04-06,3,"Vice President, Operations Transformation"
Ian Ketcheson,Ian Ketcheson,2008-09-11,2024-11-28,43,Director General
Ian Ketchinson,Ian Ketchinson,2023-06-09,2023-06-09,1,"Vice President, Indigenous Relations Sector"
Ian Ketchson,Ian Ketcheson,2024-06-25,2024-06-25,1,Director General
Ian Mack,Ian Mack,2009-07-10,2016-03-10,24,"Director General, Major Project Delivery"
Ian Mackay,Ian Mackay,2019-09-03,2019-09-03,1,Chief Executive Officer
Ian Matheson,Irene Mathyssen,2008-09-29,2010-01-26,7,Member of Parliament
