raw name,cleaned name,first_appearance,last_appearance,count,title
K Hillman,K Hillman,2013-01-18,2013-01-18,1,Chief Negotiator
K Kellie Leitch,Kellie Leitch,2014-09-22,2014-09-22,1,Member of Parliament
K Rolland,K Rolland,2018-10-30,2018-10-30,1,"Director, Stakeholder Outreach"
K. Kellie Leitch,Kellie Leitch,2013-02-14,2019-02-05,8,Member of Parliament
K. Mountjoy,K. Mountjoy,2008-07-21,2008-07-21,1,Assistant Deputy Minister
K.kellie Leitch,Kellie Leitch,2019-05-06,2019-05-06,1,Member of Parliament
Kabir Bains,Kabir Bains,2024-09-18,2024-09-18,1,Assistant Deputy Minister
Kacie Turner,Kacie Turner,2021-07-21,2021-10-12,2,Program Officer
Kadri Bayan,Kadri Bayan,2024-07-18,2024-07-18,1,Policy Advisor
Kaelyn Van Gardener,Kaelyn Van Gardener,2024-11-19,2024-11-19,1,Parliamentary Assistant
Kahlil Cappuccino,Kahlil Cappuccino,2018-05-23,2019-11-05,7,Director
Kaila Mintz,Kaila Mintz,2013-05-10,2013-05-10,1,Senior Development Policy Officer
Kaila Rosenhek,Kaila Rosenhek,2022-09-28,2024-11-19,6,Chief of Staff
Kaileigh Richter,Kaileigh Richter,2014-12-04,2014-12-04,2,Assistant to Member
Kailey Fisher,Kailey Fisher,2013-12-16,2013-12-16,1,Policy Advisor
Kaili Lavesque,Kaili Lavesque,2024-02-08,2024-02-08,1,Deputy Secretary
Kaili Levesqu,Kaili Levesque,2022-12-16,2022-12-16,1,Assistant Secretary to the Cabinet
Kaili Levesque,Kaili Levesque,2016-02-04,2025-05-25,257,Assistant Secretary to the Cabinet
Kailie Levesque,Kailie Levesque,2021-10-21,2022-03-21,3,"Assistant Secretary, Economic and Regional Development Policy"
Kaillie Levesque,Kaillie Levesque,2021-09-28,2021-09-28,1,Assistant Deputy Minister
Kailtlyn Jonescu,Kaitlyn Jonescu,2024-10-22,2024-10-22,1,Regional Advisor
Kailtyn Forbes,Kaitlyn Forbes,2021-05-20,2021-05-20,1,Policy Advisor
Kaireen Patton,Kaireen Patton,2022-07-28,2023-09-12,2,Senior Policy Analyst
Kairi-liis Ustav,Kairi-liis Ustav,2024-02-13,2024-02-13,1,Program Officer
Kait Alkema,Kait Alkema,2022-09-20,2022-09-20,1,Chief of Staff
Kaitlin Blackhall,Kaitlin Blackhall,2022-02-21,2024-08-01,6,"Manager, Strategic Policy"
Kaitlin Creary,Kaitlyn Cleary,2025-02-19,2025-02-19,1,Director of Policy
Kaitlin Everson,Kaitlin Everson,2012-02-28,2015-02-26,4,Policy Advisor
Kaitlin Heron,Kaitlin Heron,2024-02-13,2024-02-13,1,Environmental Management Specialist
Kaitlin Martin,Kaitlin Martin,2025-04-14,2025-04-14,1,Policy Analyst
Kaitlin Posselwhite,Kaitlin Posselwhite,2024-08-01,2024-08-01,1,Policy Analyst
Kaitlin Power,Kaitlin Power,2024-01-25,2025-01-08,4,Press Secretary
Kaitlyn Cleary,Kaitlyn Cleary,2024-07-16,2025-05-27,91,Director of Policy
Kaitlyn Forbes,Kaitlyn Forbes,2020-09-01,2022-10-20,32,Policy Advisor
Kaitlyn Forbs,Kaitlyn Forbs,2022-02-07,2022-02-07,1,Policy Advisor to the Minister of Mental Health and Addictions
Kaitlyn Jones,Kaitlyn Jones,2022-10-26,2022-10-26,3,Policy Analyst
Kaitlyn Jonescu,Kaitlyn Jonescu,2021-05-28,2024-12-17,19,Regional Advisor
Kaitlyn Kaitlyn,Kaitlyn Kaitlyn,2015-02-03,2015-02-13,2,Legal Officer
Kaitlyn Kaitlyn Pritchard,Kaitlyn Kaitlyn Pritchard,2015-02-12,2015-02-12,1,Legal Officer
Kaitlyn Peters,Kaitlyn Peters,2022-02-22,2024-03-18,27,Ontario Regional Advisor and FedNor Special Assistant
Kaitlyn Prichartd,Kaitlyn Prichartd,2025-03-12,2025-03-12,1,Trade Program Manager
Kaitlyn Pritchard,Kaitlyn Pritchard,2015-02-19,2024-11-20,3,Legal Officer
Kaitlyn Staines,Kaitlyn Staines,2024-03-08,2024-03-08,1,"Regional Advisor, Atlantic and Operations Assistant"
Kaitlyn Wendland,Kaitlyn Wendland,2023-11-20,2024-06-20,17,"Regional Advisor, Ontario"
Kaiya Jarvis,Kaiya Jarvis,2023-09-11,2023-09-11,1,Hill Assistant
Kajan Ratneswaran,Kajan Ratneswaran,2021-04-09,2023-10-25,2,Policy Analyst
Kala Pendakur,Kala Pendakur,2022-06-03,2023-04-14,5,Sector Specialist
Kaleigh Beauvais,Kaleigh Beauvais,2024-10-23,2025-05-29,9,International Development Officer
Kali Hatt-kilburn,Kali Hatt-kilburn,2023-05-29,2023-05-29,2,"Vice President, New Brunswick Regional Office"
Kali Levesque,Kali Levesque,2021-10-21,2024-12-11,2,Associate Deputy Minister
Kalie Hatt-kilburn,Kalie Hatt-kilburn,2022-10-27,2025-02-27,4,Vice President
Kalin Mccluskey,Kalin Mccluskey,2012-09-28,2014-03-25,12,Director of Policy
Kalin Mcclusky,Kalin Mcclusky,2012-10-02,2012-10-02,1,Policy Advisor
