raw name,cleaned name,first_appearance,last_appearance,count,title
M Seeley,M Seeley,2008-10-17,2008-10-17,1,Senior Director
M-l. Morin,M-l. Morin,2008-07-21,2008-07-21,1,Deputy Minister
M. Andrew Plater,M. Andrew Plater,2015-05-21,2015-05-21,1,Program Manager
M. Gerard Deltell,M. Gerard Deltell,2016-02-18,2016-02-18,1,Member of Parliament
M. Tim Martin,M. Tim Martin,2011-10-17,2011-10-17,1,Ambassador to Colombia
M.c. Wright,M.C. Wright,2024-04-23,2024-04-23,1,"Commander, Canadian Forces Intelligence Command | Chief of Defence Intelligence"
Maaha Chaudhary,Maaha Chaudhary,2023-10-03,2023-10-03,1,Staffer to Member of Parliament
Maaliter Teng-yang,Maaliter Teng-yang,2024-09-25,2024-09-25,1,Parliamentary Assistant
Maarten De Groot,Maarten De Groot,2017-04-05,2017-04-05,1,"Deputy Director, Food Security Policy"
Maaz Yasin,Maaz Yasin,2019-05-09,2023-03-23,30,"Advisor, Stakeholder Relations"
Maaz Yasnin,Maaz Yasnin,2018-03-26,2018-03-26,1,Special Assistant
Maaz Yassin,Maaz Yasin,2021-03-04,2021-11-29,3,"Advisor, Stakeholder Relations"
Mabelle Sawaqed,Mabelle Sawaqed,2022-06-06,2022-06-06,1,Trade Commissioner
Mable Elmore,Mable Elmore,2019-10-22,2019-10-22,1,Parliamentary Secretary
Mac Braid,Mac Braid,2011-06-10,2012-02-07,2,Director of Operations
Mac Harb,Mac Harb,2010-10-14,2013-02-13,26,Senator
Mac Herb,Mac Harb,2009-11-17,2013-03-26,2,Senator
Mac Herd,Mac Herd,2016-12-15,2016-12-15,1,"Policy Advisor, Western Desk"
Mac Hird,Mac Hird,2016-11-22,2021-08-16,106,"Regional Advisor, Prairies and North"
Mac Hurd,Mac Hurd,2017-06-06,2017-06-06,1,Special Assistant to the Minister of Public Safety
Mac Radan,Mac Radan,2018-06-12,2018-06-12,1,Policy Advisor
Mac-doris Jean-marie,Mac-doris Jean-marie,2022-07-27,2022-07-27,1,Administrative Officer
Macarie Smith,Macarie Smith,2022-06-13,2022-06-13,1,Program Manager
Macaulay,Macaulay,2016-09-27,2018-11-20,2,"Minister, Agriculture and Agri-Food"
Macaulay - Lawrence,Macaulay - Lawrence,2017-10-18,2017-10-18,1,Minister
Macaulay Lawrence,Macaulay Lawrence,2015-11-13,2025-03-11,5,Minister
Macauley,Macauley,2017-02-07,2017-02-07,1,Minister
Macauly Lawrence,Macauly Lawrence,2016-08-25,2016-08-25,1,Minister of Agriculture
Macdonald Brian,Macdonald Brian,2009-02-16,2009-02-16,1,Senior Policy Advisor to the Minister of National Defence
Macdonald Heath,Macdonald Heath,2022-10-18,2022-10-18,1,Member of Parliament
Macdonald Helen,Macdonald Helen,2009-02-13,2009-02-13,1,Assistant Deputy Minister
Macdonald Jason,Macdonald Jason,2013-07-29,2013-07-29,1,Deputy Chief of Staff
Macdonald Michael,Macdonald Michael,2016-05-11,2019-05-14,2,Senator
Maceachern Malcolm,Maceachern Malcolm,2020-11-09,2020-11-09,1,Special Assistant
Macgregor Alistair,Macgregor Alistair,2020-01-30,2020-01-30,1,Member of Parliament
Mack Franklin,Mack Franklin,2024-03-20,2024-12-09,10,Communications Assistant
Mack Hird,Mack Hird,2018-06-06,2018-06-06,1,"Special Assistant, Regional Affairs"
Mackay Todd,Mackay Todd,2010-02-03,2010-02-03,1,Director of Communication
Mackenize Radan,Mackenzie Radan,2018-01-25,2018-01-25,1,Parliamentary Secretary Assistant
Mackensie Herd,Mackenzie Hird,2017-09-15,2017-09-15,1,"Special Assistant, Regional Affairs"
