raw name,cleaned name,first_appearance,last_appearance,count,title
O'brien Damien,Obrien Damien,2019-02-28,2019-02-28,1,Senior Policy Advisor
O'brien Stevie,Obrien Stevie,2017-11-08,2017-11-08,1,"Director, Parliamentary Affairs"
O'halloran Mark,Ohalloran Mark,2016-11-17,2016-11-17,1,Special Assistant
O'regan Seamus,Oregan Seamus,2017-03-06,2017-03-06,1,Member of Parliament
O'shea Kevin,Oshea Kevin,2013-02-06,2013-02-06,1,Assistant Secretary
Oana Tranca,Oana Tranca,2021-08-17,2021-08-17,1,Research and Evaluation Analyst
Oana Vasuta,Oana Vasuta,2024-04-05,2024-04-05,1,Policy Analyst
Oba Harding,Oba Harding,2022-07-15,2025-02-18,11,Business Officer
Oda Beverlee,Oda Beverlee,2009-06-04,2009-06-04,1,Minister
Odette Johnson,Odette Johnson,2017-01-31,2017-01-31,1,Director
Odile Joannette,Odile Joannette,2021-09-01,2021-09-01,1,Director
Ogesanmola Omitayo,Ogesanmola Omitayo,2023-04-27,2023-04-27,1,"Senior Advisor, Program Development"
Ogilvie Kelvin,Ogilvie Kelvin,2013-05-30,2017-06-06,3,Senator
Oh Victor,Oh Victor,2013-02-28,2013-02-28,1,Senator
Oilivier Hebert,Oilivier Hebert,2013-05-30,2013-05-30,1,Director of Policy
Olaf Andreas Kjelsen,Olaf Andreas Kjelsen,2024-11-05,2024-11-05,1,Ambassador
Olaf Jensen,Olaf Jensen,2010-01-14,2024-01-19,12,Director
Olaf Kjelsen,Olaf Kjelsen,2024-05-28,2024-05-28,1,Ambassador of Switzerland to Canada
Olalekan Edwards,Olalekan Edwards,2024-09-09,2024-09-09,1,Special Assistant
Old Hendrickson,Old Hendrickson,2009-11-24,2009-11-24,1,Scientific Advisor
Olesia Bissett,Olesia Bissett,2025-05-27,2025-05-27,1,Policy Analyst
Olga Radchenko,Olga Radchenko,2018-11-15,2025-03-14,123,Director of Policy
Olga Radochenko,Olga Radchenko,2023-10-04,2023-10-04,1,Director of Policy
Olga Vovk,Olga Vovk,2021-04-26,2021-04-26,1,"Senior Regional Manager, Europe"
Oline Twiss,Oline Twiss,2012-02-15,2013-11-28,9,Parliamentary Affairs
Oliphant Rob,Oliphant Rob,2020-10-05,2020-10-05,1,Member of Parliament
Oliphant Robert,Oliphant Robert,2017-11-15,2017-11-15,1,Member of Parliament
Oliver Anderson,Oliver Anderson,2016-03-09,2025-01-30,183,Communications Advisor
Oliver Archer-antonsen,Oliver Archer-antonsen,2013-02-14,2015-02-03,2,Advisor to the Associate Deputy Minister
Oliver Beaulieu-charbonneau,Oliver Beaulieu-charbonneau,2016-05-16,2016-05-16,1,"Sector Specialist, Dairy Products"
Oliver Black,Oliver Black,2021-01-18,2021-01-18,1,Policy Advisor
Oliver Blake,Oliver Blake,2020-06-09,2022-03-17,5,Policy Advisor
Oliver Bullion,Oliver Bullion,2020-11-30,2020-11-30,1,Director
Oliver Cullen,Oliver Cullen,2016-10-06,2022-10-26,5,Policy Advisor
Oliver Duchesneau,Oliver Duchesneau,2017-11-29,2019-02-20,2,Chief of Staff
Oliver Duhaime,Oliver Duhaime,2020-11-25,2020-11-25,2,Special Assistant
Oliver Dumville,Oliver Dumville,2020-07-09,2020-07-09,1,Policy Analyst
Oliver Hebert,Oliver Hebert,2013-02-19,2013-02-19,1,Senior Advisor
Oliver Jarda,Oliver Jarda,2020-06-16,2021-04-22,2,Director of Policy and Legal Affairs
Oliver Joe,Oliver Joe,2012-01-25,2012-09-04,2,"Minister, Natural Resources"
Oliver John,Oliver John,2016-11-29,2016-11-29,1,Member of Parliament
Oliver Kanter,Oliver Kanter,2019-04-24,2024-11-07,2,Senior Policy Analyst
Oliver Pas Certain,Oliver Pas Certain,2019-03-01,2019-03-01,1,Policy Advisor
