raw name,cleaned name,first_appearance,last_appearance,count,title
P. Benoit,P. Benoit,2008-07-21,2008-07-21,1,Minister's Staff
P.j. Partington,P.J. Partington,2025-02-27,2025-02-27,1,"Manager, Strategic Policy"
P:aul Fitzgerald,Paul Fitzgerald,2008-08-12,2008-08-12,1,Senior Policy Advisor
Pablo Castagnino,Pablo Castagnino,2024-05-28,2024-05-28,1,"Counsellor, Argentina Embassy in Canada"
Pablo Concilio,Pablo Concilio,2022-09-21,2022-09-21,1,Senior Trade Policy Officer
Pablo Jacubovich,Pablo Jacubovich,2020-09-02,2020-09-09,2,Policy Analyst
Pablo Prodriguez,Pablo Prodriguez,2017-11-15,2017-11-15,1,Member of Parliament
Pablo Rodreguez,Pablo Prodriguez,2016-05-19,2016-05-19,1,Member of Parliament
Pablo Rodrigues,Pablo Rodrigues,2010-11-19,2020-03-23,3,Member of Parliament
Pablo Rodriguez,Pablo Rodriguez,2010-05-10,2024-09-13,465,Member of Parliament
Pablo Rodriquez,Pablo Rodriquez,2010-10-07,2022-03-17,11,Member of Parliament
Pablo Sobrino,Pablo Sobrino,2010-06-23,2014-05-07,23,Associate Assistant Deputy Minister
Paddy Enright,Paddy Enright,2024-05-01,2024-05-01,1,Policy Analyst
Page Simon,Page Simon,2023-01-13,2023-01-13,1,Assistant Deputy Minister
Paige Inglis,Paige Inglis,2023-10-04,2023-10-04,2,Policy Analyst
Paige Ladouceur,Paige Ladouceur,2022-12-07,2024-06-07,3,Senior Policy Advisor
Paige Reno,Paige Reno,2016-12-01,2016-12-01,1,"Policy Analyst, Sustainable Development Policy"
Paille Daniel,Paille Daniel,2010-12-07,2010-12-07,1,Member of Parliament
Pallavi Roy,Pallavi Roy,2021-06-07,2021-06-07,1,Policy Advisor
Paloma Aguilar Gonzalez,Paloma Aguilar Gonzalez,2012-06-11,2012-06-11,1,Assistant
Pam Bjornson,Pam Bjornson,2013-02-04,2013-03-05,2,Director General
Pam Dagenais,Pam Dagenais,2022-05-17,2023-04-03,2,Manager
Pam Damof,Pam Damoff,2016-12-12,2019-05-31,2,Member of Parliament
Pam Damoff,Pam Damoff,2015-12-03,2025-04-10,574,Member of Parliament
Pam Danoff,Pam Danoff,2018-10-23,2020-05-20,2,Minister
Pam Domoff,Pam Damoff,2016-06-29,2016-06-29,1,Member of Parliament
Pam Goldsmith,Pam Goldsmith,2017-03-20,2017-03-20,1,Member of Parliament
Pam Goldsmith Jones,Pam Goldsmith Jones,2016-04-19,2019-02-25,5,Member of Parliament
Pam Goldsmith-jones,Pam Goldsmith-jones,2015-11-27,2019-06-19,110,Member of Parliament
Pam Hine,Pam Hine,2024-06-17,2024-06-17,1,Vice President
Pam Lafaive,Pam Lafaive,2024-12-04,2024-12-04,1,Director
Pam Lefaive,Pam Lefaive,2015-06-24,2022-04-27,3,"Director, Temporary Foreign Worker Program"
Pam Lefaive Policy,Pam Lefaive Policy,2021-03-15,2021-03-15,1,Public Safety Canada
Pam Miles-seguin,Pam Miles-seguin,2009-05-26,2009-05-26,1,Senior Special Assistant
Pam Miller,Pam Miller,2009-12-08,2019-07-10,12,Director General
Pam Moss,Pam Moss,2011-05-18,2011-05-18,1,"Director, Information, Communication and Manufacturing"
Pam O'leary,Pam Oleary,2013-03-19,2013-03-19,1,Director of Communications
Pam Ross,Pam Ross,2022-01-11,2022-01-11,1,Staffer to Senator
Pam Turpin,Pam Turpin,2021-02-25,2022-01-27,7,Executive Director
Pam Wallin,Pam Wallin,2019-02-27,2019-02-27,1,Senator
Pamela Arnott,Pamela Arnott,2022-09-23,2022-09-23,1,Associate Director General
Pamela Aung Thin,Pamela Aung Thin,2020-03-10,2021-12-17,2,Associate Assistant Deputy Minister
Pamela Aung Thing,Pamela Aung Thin,2020-03-10,2020-03-10,1,Associate Assistant Deputy Minister
Pamela Aung-thin,Pamela Aung-thin,2020-02-10,2025-05-05,58,Associate Assistant Deputy Minister
Pamela Clarke,Pamela Clarke,2020-11-04,2020-11-04,1,Senior Program Officer
Pamela Damdoff,Pamela Damoff,2020-12-15,2020-12-15,1,Member of Parliament
Pamela Damoff,Pamela Damoff,2020-12-15,2023-02-09,2,Member of Parliament
Pamela Danoff,Pamela Danoff,2020-04-17,2020-04-17,1,Parliamentary Secretary
Pamela Duggan,Pamela Duggan,2022-01-12,2023-11-06,2,Constituency Assistant
Pamela Eades,Pamela Eades,2023-10-18,2023-10-18,1,Chief of Staff
Pamela French,Pamela French,2016-01-27,2016-01-27,1,Manager | Senior Policy Advisor
Pamela Goldsmith,Pamela Goldsmith,2017-04-10,2017-04-10,1,Parliamentary Secretary
Pamela Goldsmith - Jones,Pamela Goldsmith-jones,2017-03-29,2017-09-19,2,Member of Parliament
Pamela Goldsmith Jones,Pamela Goldsmith Jones,2016-06-03,2018-11-11,13,Member of Parliament
Pamela Goldsmith-jones,Pamela Goldsmith-jones,2015-11-17,2019-09-10,149,Member of Parliament
Pamela Gordon,Pamela Gordon,2021-07-26,2025-04-01,2,Deputy Head of Cooperation
Pamela Harrison,Pamela Harrison,2024-06-07,2024-06-07,1,"Director General, Community Engagement"
Pamela Hine,Pamela Hine,2024-05-06,2024-05-06,2,"Vice President, Housing Solutions"
Pamela Hunt,Pamela Hunt,2016-07-13,2016-07-13,1,Manager
Pamela Jones,Pamela Jones,2023-12-04,2023-12-04,1,Senior Policy Advisor
Pamela Lefaive,Pamela Lefaive,2024-11-19,2025-03-05,5,Director
Pamela Macdonald,Pamela Macdonald,2024-09-05,2024-10-30,3,Executive Director
Pamela Mccoll,Pamela Mccoll,2016-08-16,2016-08-16,1,Senior Policy Analyst
Pamela Mccurry,Pamela Mccurry,2016-05-17,2016-05-17,1,Assistant Deputy Minister
Pamela Miller,Pamela Miller,2009-03-19,2021-07-09,36,Director General
Pamela Mintern,Pamela Mintern,2023-05-26,2023-05-26,1,"Assistant Director, Communications Central-South"
Pamela Moss,Pamela Moss,2013-10-15,2019-06-06,2,"Director, Manufacturing, Communications and Technologies"
Pamela Presley,Pamela Presley,2017-12-08,2018-02-06,4,Industrial Technology Advisor
Pamela Simpson,Pamela Simpson,2014-06-26,2022-11-24,9,Manager
Pamela Stephens,Pamela Stephens,2010-08-16,2010-08-16,1,Press Secretary
Pamela Turpin,Pamela Turpin,2012-10-24,2024-05-27,7,Acting Director
