raw name,cleaned name,first_appearance,last_appearance,count,title
Qamer Hameed,Qamer Hameed,2021-09-27,2023-05-11,7,Senior Policy Advisor
Qasir Dar,Qasir Dar,2024-04-30,2024-07-22,4,"Director, Stakeholder Relations"
Qasir Dar Hanif,Qasir Dar Hanif,2024-04-15,2024-04-15,2,"Director, Stakeholder Relations"
Qasir Hanif,Qasir Hanif,2024-02-13,2025-06-05,17,"Director, Stakeholder Relations"
Qasir Hanif Dar,Qasir Hanif Dar,2024-04-15,2024-04-30,2,"Director, Stakeholder Relations"
Qi Wang,Qi Wang,2016-06-01,2016-09-14,3,Director
Qiushi Wang,Qiushi Wang,2022-08-19,2023-08-18,5,"Investment Analyst, Strategic Innovation Fund"
Quasir Hanif,Quasir Hanif,2024-05-29,2024-05-29,3,"Director, Stakeholder Relations"
Quilliam Sylvain,Quilliam Sylvain,2014-02-03,2014-02-03,1,Senior Commerce Officer
Quinlan Mark,Quinlan Mark,2019-05-03,2019-05-03,2,Vice President
Quinn Deery,Quinn Deery,2024-08-07,2024-08-07,1,Acting Chief of Staff
Quinn Ferris,Quinn Ferris,2020-01-30,2025-03-19,77,Regional Advisor
Quinn Jim,Quinn Jim,2022-05-11,2022-05-11,1,Senator
Quinn Rinke,Quinn Rinke,2024-03-18,2024-12-09,3,Parliamentary Secretary
Quinten Beelik,Quinten Beelik,2024-02-01,2024-11-21,3,Legislative Assistant
Quinton Graham-bennett,Quinton Graham-bennett,2023-02-10,2024-10-29,2,Ministerial Assistant
Quniton Graham-bennett,Quniton Graham-bennett,2025-02-11,2025-02-11,1,Office Manager
Qusai Yusuf,Qusai Yusuf,2023-02-13,2023-02-13,1,Operations Assistant and Executive Assistant
