raw name,cleaned name,first_appearance,last_appearance,count,title
R. Boughen,Ray Boughen,2011-03-01,2011-03-01,1,Member of Parliament
R. Engelhart,R. Engelhart,2010-06-03,2010-06-03,2,Assistant Deputy Minister
R. Hoback,R. Hoback,2011-03-01,2011-03-01,1,Member of Parliament
R. Nathoo,R. Nathoo,2009-01-08,2009-01-28,2,Chief of Staff
R. R. Pitre,R.R. Pitre,2012-11-13,2012-11-13,1,Director General
R.d. Foster,R.D. Foster,2013-02-20,2013-02-20,1,Major General
R.r. Knecht,R.R. Knecht,2011-01-17,2011-01-17,1,Senior Deputy Commissioner
Raahool Watchmaker,Raahool Watchmaker,2020-10-22,2020-10-22,1,"Counsel, Trade Law Bureau"
Rabha Subramani,Radha Subramani,2022-06-13,2022-06-13,1,Director of Operations
Rabia Moin,Rabia Moin,2021-03-19,2021-03-19,1,Junior Policy Analyst
Rabih Abou-assaly,Rabih Abou-assaly,2020-05-27,2020-05-27,1,Program Consultant
Racha Saad,Racha Saad,2020-08-25,2020-08-25,1,"Policy Analyst, Seniors Policy and Analysis Unit"
Rachael Bedlington,Rachael Bedlington,2021-11-30,2021-11-30,1,"Consul General, Hong Kong Special Administrative Region"
Rachael Curran,Rachael Curran,2009-09-22,2009-09-22,1,Policy Advisor
Rachael Grasham,Rachael Grasham,2011-02-17,2011-02-17,1,Chief
Rachael Harder,Rachael Harder,2016-01-28,2024-11-27,139,Member of Parliament
Rachael Harder-thomas,Rachael Harder-thomas,2022-02-14,2022-02-14,1,Member of Parliament
Rachael Heleniak,Rachael Heleniak,2021-04-21,2021-04-21,1,Staffer
Rachael Jenish,Rachael Jenish,2022-01-19,2022-01-19,1,Analyst
Rachael Lindsay,Rachael Lindsay,2016-01-28,2016-01-28,1,Director
Rachael Moltner,Rachael Moltner,2023-12-07,2023-12-07,1,Policy Analyst
Rachael Muller,Rachael Muller,2020-02-04,2023-02-08,8,"Analyst, Program Policy"
Rachael Thomas,Rachael Thomas,2022-01-20,2025-06-11,88,Member of Parliament
Rachael Thomas (harder,Rachael Thomas (harder,2022-02-08,2022-02-08,1,Member of Parliament
Rachael Wernick,Rachael Wernick,2017-06-05,2017-06-05,1,Assistant Deputy Minister
Racheal Harder,Rachael Harder,2016-10-18,2017-10-30,3,Member of Parliament
Rachel Bandayan,Rachel Bandayan,2016-05-16,2016-05-16,1,Chief of Staff
Rachel Bedlington,Rachel Bedlington,2024-04-24,2024-04-24,1,"Consul General, Hong Kong"
Rachel Bendayan,Rachel Bendayan,2016-01-21,2025-05-27,278,Member of Parliament
Rachel Blaney,Rachel Blaney,2016-01-27,2025-02-26,192,Member of Parliament
Rachel Blayney,Rachel Blaney,2020-02-04,2020-02-04,1,Member of Parliament
Rachel Burdman,Rachel Burdman,2022-06-15,2022-06-15,1,Executive Advisor
Rachel Chertkoff,Rachel Chertkoff,2024-04-18,2024-04-18,1,Chief of Staff
Rachel Cook,Rachel Cook,2018-06-13,2018-06-13,1,Staffer
Rachel Cuarran,Rachel Curran,2014-06-06,2014-06-06,1,Director of Policy
Rachel Curran,Rachel Curran,2008-11-14,2015-07-20,157,Director of Policy
Rachel Currant,Rachel Currant,2014-11-25,2014-11-25,1,Director of Policy and Research
Rachel Curren,Rachel Curran,2009-11-26,2014-01-21,3,Director of Policy
Rachel Dancho,Raquel Dancho,2020-01-27,2021-06-25,3,Member of Parliament
Rachel Desjardins,Rachel Desjardins,2021-04-26,2023-07-12,4,Senior Special Assistant
Rachel Dolan,Rachel Dolan,2021-05-25,2021-05-25,1,Senior Policy Advisor
Rachel Doran,Rachel Doran,2017-02-23,2021-07-14,93,Senior Special Advisor
Rachel E. Samson,Rachel E. Samson,2012-05-02,2012-05-02,1,Director
Rachel Feeney,Rachel Feeney,2020-02-20,2020-02-20,1,Policy Advisor
Rachel Geddy,Rachel Geddy,2018-10-19,2024-04-02,5,Manager
Rachel Gordon,Rachel Gordon,2024-08-09,2024-08-09,1,"Policy Advisor, Digital Media and Distribution"
Rachel Grasham,Rachel Grasham,2012-04-23,2022-02-01,7,Senior Director
Rachel Guthrie,Rachel Guthrie,2024-12-12,2024-12-12,1,"Vice President, ESG Integration"
Rachel Harder,Rachael Harder,2016-02-02,2023-10-23,47,Member of Parliament
Rachel Helaniak,Rachel Helaniak,2021-04-21,2021-04-21,1,Staffer to Member of Parliament
Rachel Hurdle,Rachel Hurdle,2020-06-08,2020-06-08,1,Executive Assistant
Rachel Kish,Rachel Kish,2024-03-19,2024-03-19,3,Assistant
Rachel Lacrampe,Rachel Lacrampe,2024-10-07,2024-10-07,1,"Program Officer, Forced Displacement, Middle East and Eastern Europe"
Rachel Lawless,Rachel Lawless,2024-12-18,2024-12-18,1,Director
Rachel Marleau,Rachel Marleau,2020-02-26,2024-04-17,8,Director
