raw name,cleaned name,first_appearance,last_appearance,count,title
S. Knight,S. Knight,2008-09-03,2008-09-03,2,Deputy Secretary to Cabinet
S. Verheul,S. Verheul,2008-07-21,2008-07-21,1,Chief Agricultural Negotiator
Saad Iqbal,Saad Iqbal,2021-05-12,2021-05-12,1,Economist
Saad Rahali,Saad Rahali,2021-03-12,2021-03-12,1,Director
Saajida Deen,Saajida Deen,2024-11-25,2024-12-10,3,Director General
Saaka Minimaana,Saaka Minimaana,2017-08-18,2017-08-18,1,Director
Saba Khwaja,Saba Khwaja,2020-11-09,2024-08-19,12,Executive Director
Sabah Khan,Sabah Khan,2021-03-23,2021-03-23,1,Constituency Assistant
Sabah Nizar Rashid Al Rafie,Sabah Nizar Rashid Al Rafie,2024-11-05,2024-11-05,1,"Ambassador, Hashemite Kingdom of Jordan"
Sabastian Clarke,Sebastian Clarke,2023-09-13,2023-09-13,1,"Special Assistant, Ontario"
Sabastien Labelle,Sabastien Labelle,2020-02-13,2020-09-17,14,Director General
Sabeen Kazmi,Sabeen Kazmi,2024-10-28,2024-12-02,2,Legislative Assistant
Sabi Marwah,Sabi Marwah,2017-02-01,2023-11-15,40,Senator
Sabia Saini,Sabina Saini,2017-10-06,2017-10-06,1,Chief of Staff
Sabika Zehra,Sabika Zehra,2021-02-08,2021-02-08,1,Junior Policy Analyst
Sabina Postolek,Sabina Postolek,2017-05-16,2017-09-21,2,"Chief, Data and Statistical Analysis"
Sabina Sabina Saini,Sabina Sabina Saini,2020-03-25,2020-03-25,1,Chief of Staff
Sabina Saini,Sabina Saini,2015-04-07,2021-08-13,294,Chief of Staff
Sabina Sanai,Sabina Saini,2020-04-23,2020-04-23,1,Chief of Staff
Sabina Santi,Sabina Saini,2019-11-06,2019-11-06,1,Chief of Staff
Sabine El-chidiac,Sabine El-chidiac,2013-04-23,2015-07-14,21,Policy Advisor
Sabine El_chidiac,Sabine El-chidiac,2015-03-24,2015-03-24,2,Policy Advisor
Sabine Nolke,Sabine Nolke,2016-05-23,2016-05-23,1,Ambassador to the Kingdom of the Netherlands
Sabine Saini,Sabina Saini,2020-01-29,2020-01-29,1,Chief of Staff
Sabine Sparwasser,Sabine Sparwasser,2022-11-16,2022-11-16,1,Ambassador of the Republic of Germany to Canada
Sabini Saini,Sabina Saini,2018-10-15,2020-09-03,5,Chief of Staff
Sabrina Anzini,Sabrina Anzini,2008-08-13,2012-01-04,31,"Special Advisor, Legal Affairs and Policy"
Sabrina Bergeron,Sabrina Bergeron,2019-08-06,2019-08-06,1,Chief of Staff
Sabrina Brenot,Sabrina Brenot,2012-04-19,2015-04-17,3,"Director, Constituency"
Sabrina Gilbert-girard,Sabrina Gilbert-girard,2020-09-24,2020-09-24,1,Junior Policy Analyst
Sabrina Kabir,Sabrina Kabir,2022-12-02,2022-12-02,1,Senior Policy Advisor
Sabrina Karnouk,Sabrina Karnouk,2023-05-10,2023-11-06,2,Head of Regulatory Development
Sabrina Kim,Sabrina Kim,2018-05-23,2024-03-05,31,Director of Communications
Sabrina Kooistra,Sabrina Kooistra,2023-08-10,2023-08-10,1,"Manager, Outreach"
Sabrina Lachance,Sabrina Lachance,2018-05-10,2018-09-26,3,Policy Analyst
Sabrina Mayer,Sabrina Mayer,2022-10-14,2022-10-14,2,Executive Assistant
Sabrina Meyer,Sabrina Meyer,2023-06-06,2023-06-06,3,Advisor
Sabrina Payant,Sabrina Payant,2025-02-14,2025-02-14,1,Policy Advisor
Sabrina Payant Smith,Sabrina Payant-smith,2023-01-31,2025-01-16,12,Legislative Assistant
Sabrina Payant-smith,Sabrina Payant-smith,2023-09-06,2025-03-15,39,Legislative Assistant
Sabrina Pillay,Sabrina Pillay,2022-01-27,2022-01-27,1,Senior Policy Analyst
Sabrina Plura,Sabrina Plura,2013-11-29,2013-11-29,1,Species Conservation
Sabrina Postolek,Sabrina Postolek,2025-02-12,2025-02-12,1,"Director, Energy and Economic Analysis"
Sabrina Quick,Sabrina Quick,2020-10-05,2020-10-05,1,Senior Policy Advisor
Sabrina Ramzi,Sabrina Ramzi,2025-04-29,2025-04-29,1,"Acting Deputy Director, International Assistance Policy Planning Division"
Sabrina Rioux,Sabrina Rioux,2019-09-11,2024-05-14,7,Advisor
Sabrina Saini,Sabina Saini,2017-09-19,2018-10-31,2,Chief of Staff
Sabrina Smith,Sabrina Smith,2023-03-29,2024-05-01,2,Legislative Assistant
Sabrina Sotiriu,Sabrina Sotiriu,2014-10-07,2020-02-26,4,Legislative Assistant
Sabrina Sutherland,Sabrina Sutherland,2023-05-23,2025-02-26,39,Regional Advisor
Sacha Atherley,Sasha Atherly,2020-11-04,2020-11-27,2,"Director, Stakeholder Relations"
Sacha Atherly,Sacha Atherly,2016-05-05,2023-05-18,212,Senior Policy Advisor
Sacha Levasseur-rivard,Sacha Levasseur-rivard,2017-04-27,2021-09-23,2,Director
Sacha Lubin,Sacha Lubin,2021-11-25,2022-01-12,2,"Senior Advisor, Quebec"
Sacha Peter,Sacha Peter,2016-03-30,2016-03-30,1,Legislative Assistant
Sacha Richard,Sacha Richard,2019-06-20,2024-11-21,7,Director
Sacha Richards,Sacha Richards,2022-06-26,2022-06-29,4,Project Manager
Sacha Senecal,Sacha Senecal,2020-04-01,2021-04-26,4,Director
Sacha Veillette,Sacha Veillette,2016-10-24,2016-10-24,1,"Advisor, Industrial Technology"
Sachdeva Parvinder,Sachdeva Parvinder,2017-11-23,2020-11-12,2,"Assistant Director, Policy"
Sachelle Magloire Prosper,Sachelle Magloire-prosper,2023-05-09,2023-05-09,1,Director of Operations
Sachelle Magloire- Prosper,Sachelle Magloire-prosper,2022-11-29,2022-11-29,1,Director of Operations
Sachelle Magloire-prosper,Sachelle Magloire-prosper,2018-06-19,2025-05-27,33,Director of Operations
Sachelle Magloire-prosper Magloire-prosper,Sachelle Magloire-prosper Magloire-prosper,2023-02-15,2023-02-15,1,Director of Operations
Sachelle Maglore-prosper,Sachelle Magloire-prosper,2023-05-03,2023-05-03,1,Director of Operations
Sadenga Yeba,Sandenga Yeba,2022-03-17,2023-01-31,2,Senior Policy Advisor
Sadia Afrin,Sadia Afrin,2021-10-26,2021-10-26,1,Program Delivery Officer
Sadia Groghue,Sadia Groguhe,2011-10-20,2011-10-20,1,Member of Parliament
Sadia Groguhe,Sadia Groguhe,2011-09-14,2015-05-26,35,Member of Parliament
Sadia Saeed,Sadia Saeed,2017-10-05,2024-09-17,5,Trade Commissioner
Sadie Cann,Sadie Cann,2023-10-03,2023-10-04,3,Member of Parliament
Sadie Ghosen,Sadie Ghosen,2018-10-02,2018-10-02,1,"Regional Economic Advisor, Atlantic"
Sadie Ghosn,Sadie Ghosn,2018-02-06,2021-03-02,17,Director of Operations
Sadie Goshn,Sadie Ghosn,2019-06-03,2020-10-09,2,Director of Operations
Sadie Harrison,Sadie Harrison,2024-01-09,2024-06-25,2,Policy Analyst
Sadoe Ghosn,Sadie Ghosen,2019-01-30,2019-01-30,1,"Regional Economic Advisor, Atlantic"
Saeed Khan,Saeed Khan,2017-04-05,2017-09-26,2,"Policy Advisor, Safety"
Saeedi Khusro,Saeedi Khusro,2024-05-08,2024-05-08,1,"Senior Director, Framework Policy"
Safeena Alarakhia,Safeena Alarakhia,2017-10-19,2017-10-19,1,Chief of Staff
Sahad Khalladi,Sahad Khalladi,2024-06-06,2024-06-06,1,Deputy Director
Sahil Behal,Sahil Behal,2017-05-29,2021-03-03,3,Director
Sahili Patel,Shali Patel,2022-03-04,2022-03-04,1,Director of Policy
Sahir Khan,Sahir Khan,2012-05-01,2012-05-01,1,Assistant Parliamentary Budget Officer
Sahondra Harilala Rakotoniaina,Sahondra Harilala Rakotoniaina,2024-05-28,2024-05-28,1,"Chargé d'Affaires, Embassy of the Republic of Madagascar"
Saide Ghosn,Saide Ghosn,2018-04-27,2018-04-27,1,"Special Assistant, Atlantic"
Saika Sarazin,Saika Sarazin,2024-06-04,2025-05-05,7,Senior Market Advisor
Saika Sarrazin,Saika Sarrazin,2025-02-07,2025-02-07,1,Advisor
Sailesh Thacker,Sailesh Thacker,2009-02-11,2009-02-11,1,Vice President
Sailou Babou,Sailou Babou,2020-08-31,2020-08-31,2,Head of Innovation
Saima Chaudhry,Saima Chaudhry,2019-08-19,2019-08-19,1,Program Advisor
Saima Chaudry,Saima Chaudhry,2021-04-09,2021-04-09,1,Program Advisor
Saindon Gilles,Saindon Gilles,2015-04-22,2015-04-22,1,Associate Assistant Deputy Minister
Saini Raj,Saini Raj,2020-11-12,2020-11-12,1,Member of Parliament
Saini Sabina,Saini Sabina,2017-10-31,2020-02-12,2,"Chief of Staff, Health"
Saint Denis Paul,Saint Denis Paul,2012-07-17,2012-07-17,1,Senior Counsel
Saint-vincent Samuel,Saint-vincent Samuel,2024-11-15,2024-11-15,1,Senior Policy Advisor
Saira David,Saira David,2018-10-04,2019-03-14,3,Director
Sajjan Harjit,Harjit Sajjan,2021-12-01,2021-12-01,1,"Minister, International Development"
Sajjid Lakhani,Sajjid Lakhani,2021-02-23,2022-01-24,2,Constituency Assistant
Sal Rabbani,Sal Rabbani,2022-08-24,2022-08-31,2,Managing Partner
Salah Bendaoud,Salah Bendaoud,2017-04-04,2017-04-04,1,"Head of Mission, Canadian Embassy"
Salam Samara,Salam Samara,2023-09-28,2023-09-28,1,Constituency Assistant
Saleem Saatar,Saleem Saatar,2017-10-05,2017-10-05,1,Director
Saleem Sattar,Saleem Sattar,2016-12-08,2020-04-01,7,Director General
Saleha Assadzada,Saleha Assadzada,2019-07-25,2019-07-25,1,Executive Assistant to the Minister
Salem Alahmad,Salem Alahmad,2017-07-18,2021-08-11,58,"Special Assistant, Regional Affairs"
Salem Alahmed,Salem Alahmad,2021-03-22,2021-03-22,1,"Special Assistant, Regional Affairs"
Salembier Gerry,Salembier Gerry,2014-08-28,2014-08-28,1,Assistant Deputy Minister
Salena Brickey,Salena Brickey,2023-12-07,2023-12-07,1,Director
Sally Dimachki,Sally Dimachki,2022-02-17,2022-02-17,1,Policy Analyst
Sally Gibbs,Sally Gibbs,2019-12-04,2024-09-23,3,Acting Director General
Sally Harris,Sally Harris,2013-05-28,2021-05-03,3,Parliamentary Assistant
Sally Housser,Sally Housser,2012-05-03,2012-05-03,1,Press Secretary
Sally Koornneef,Sally Koornneef,2022-06-22,2025-02-12,7,Trade Commissioner
Sally Mccloskey,Sally Mccloskey,2023-01-30,2023-01-30,1,Coordinator
Sally Prawdzik,Sally Prawdzik,2024-02-09,2024-02-09,1,Acting Director
Sally Rideout,Sally Rideout,2023-05-08,2023-05-08,1,Senior Commerce Advisor
Sally Scott,Sally Scott,2015-06-02,2024-10-21,5,Executive Director
Sally Thornton,Sally Thornton,2014-09-30,2020-05-07,11,Vice President
Salma Ataullahjan,Salma Ataullahjan,2011-11-15,2025-02-26,42,Senator
Salma Ataullajan,Salma Ataullahjan,2014-05-15,2014-05-15,1,Senator
Salma Sahid,Salma Zahid,2021-01-26,2021-01-26,1,Member of Parliament
Salma Zahid,Salma Zahid,2016-02-02,2025-06-04,338,Member of Parliament
Salma Zyed,Salma Zyed,2016-05-02,2016-05-02,1,Member of Parliament
Salman Abbas,Salman Abbas,2020-05-22,2022-09-19,11,Parliamentary Assistant
Salman Arif,Salman Arif,2017-10-11,2023-05-09,19,Director of Operations
Salman Ataullahjan,Salma Ataullahjan,2019-01-25,2019-01-25,1,Senator
Salman Dostmohammed,Salman Dostmohammed,2021-08-16,2021-08-16,1,Economist
Salman Rasheed,Salman Rasheed,2018-02-14,2024-12-20,2,"Superintendent, Banff Field Unit"
