raw name,cleaned name,first_appearance,last_appearance,count,title
Uchida Tatsukuni,Uchida Tatsukuni,2021-07-12,2021-07-12,1,"Consul General, Calgary for Japan"
Uday Sequeira,Uday Sequeira,2021-09-17,2021-10-05,2,Deputy Director
Udita Sameul,Udita Sameul,2024-02-20,2024-02-20,1,"Deputy Director, Operations"
Udita Samuel,Udita Samuel,2020-08-17,2024-08-21,58,"Regional Advisor, Ontario"
Udita Samuels,Udita Samuels,2024-05-21,2024-05-21,1,"Deputy Director, Operations"
Ugo Therien,Ugo Therien,2016-03-11,2025-01-10,5,Director
Ujjal Dosanjh,Ujjal Dosanjh,2010-08-22,2011-03-03,41,Member of Parliament
Ujjal Dossanjh,Ujjal Dosanjh,2010-07-15,2010-07-15,1,Member of Parliament
Umar Faruqui,Umar Faruqui,2023-10-31,2023-10-31,1,Senior Policy Advisor
Umarie-france Lalonde,Umarie-france Lalonde,2020-02-11,2020-02-11,1,Member of Parliament
Umer Farooq Farooq,Umer Farooq Farooq,2024-04-09,2024-04-09,1,Policy Analyst
Umit Kiziltan,Umit Kiziltan,2014-04-23,2017-09-21,5,Director General
Unknow Unknown,Unknow Unknown,2025-02-19,2025-02-19,1,Program Officer
Unknown Unknown,Unknown Unknown,2025-02-14,2025-02-14,1,Unknown
Unnati Vasavada,Unnati Vasavada,2023-03-09,2023-03-09,1,Manager
Urmi Ray,Urmi Ray,2023-04-24,2023-04-24,1,Program Officer
Ursula Beddoes,Ursula Beddoes,2012-01-17,2013-01-15,3,"Manager, Lands Tenure"
Ursula Gobel,Ursula Gobel,2012-02-22,2023-11-29,36,Associate Vice President
Ursula Goebel,Ursula Goebel,2016-08-26,2016-08-26,1,Associate Vice President
Ursula Menke,Ursula Menke,2008-10-28,2013-05-14,46,Commissioner
Ursula Menkes,Ursula Menke,2011-02-15,2011-05-17,3,Commissioner
Ursula Polack,Ursula Polack,2025-05-28,2025-05-28,1,Senior Advisor
Ursule Menke,Ursula Menke,2010-11-04,2010-11-04,1,Commissioner
Urusla Menke,Ursula Menke,2009-11-17,2009-11-18,2,Commissioner
Urvashi Dhawan-biswal,Urvashi Dhawan-biswal,2013-06-06,2023-09-14,3,Executive Director
Usha Mulukutla,Usha Mulukutla,2020-08-31,2020-08-31,1,Environment Technical Specialist
Ute Holweger,Ute Holweger,2023-06-06,2025-06-10,8,"Senior Advisor, Water Strategies"
Uthman Lebbe Mohammed Jauhar,Uthman Lebbe Mohammed Jauhar,2024-11-05,2024-11-05,1,"High Commissioner, Democratic Socialist Republic of Sri Lanka"
Uttara Chauhan,Uttara Chauhan,2023-09-28,2023-10-03,2,Director General
Uyen Hoang,Uyen Hoang,2020-04-07,2020-04-07,1,Chief of Staff
Uzair Muhammad,Uzair Muhammad,2023-11-02,2023-11-02,1,Policy Advisor
