raw name,cleaned name,first_appearance,last_appearance,count,title
V. Peter Harder,V. Peter Harder,2021-03-31,2021-04-06,2,Senator
Vadm. Angus Topshee,Vadm. Angus Topshee,2022-05-31,2025-01-21,4,"Commander, Royal Canadian Navy"
Vady Nrany,Vady Nrany,2022-11-17,2022-11-17,1,Director General
Vahid Vidah,Vahid Vidah,2016-05-31,2016-06-21,4,Policy Advisor
Val Glazer,Val Glazer,2023-04-28,2023-04-28,1,"Director, Communications and Issues"
Valarie Laflamme,Valerie Laflamme,2022-10-13,2022-10-13,1,Associate Vice President
Valencia Da Silva,Valencia Da Silva,2021-03-19,2021-03-19,1,Senior Policy Analyst
Valencia Dasilva,Valencia Da Silva,2010-11-25,2010-11-25,1,Senior Policy Analyst
Valentin Erikson,Valentin Erikson,2013-10-24,2015-04-13,18,Policy Advisor and Case Manager
Valentina Canales,Valentina Canales,2024-09-23,2024-09-23,1,Trade Commissioner Assistant
Valerie Baillard,Valerie Baillard,2014-04-11,2014-04-11,1,"Manager, Land Use and Development Planning"
Valerie Baillargeon,Valerie Baillargeon,2024-03-22,2024-03-22,1,Policy Officer
Valerie Barakat,Valerie Barakat,2022-01-27,2025-05-16,13,"Advisor, Industrial Technology"
Valerie Bennett,Valerie Bennett,2024-02-27,2024-02-27,1,"Chief, Strategic Partnerships"
Valerie Bouchard,Valerie Bouchard,2023-02-06,2024-06-26,3,Senior Foreign Policy Officer
Valerie Bradford,Valerie Bradford,2021-10-27,2024-12-12,161,Member of Parliament
Valerie Bradforf,Valerie Bradford,2022-03-17,2022-03-17,1,Member of Parliament
Valerie Cicekello,Valerie Cicekello,2010-04-16,2010-04-16,1,Scheduling Assistant
Valerie Cola,Valerie Cola,2025-04-29,2025-04-29,1,"Economist, International Trade and Finance"
Valerie Dionne,Valerie Dionne,2018-01-18,2018-01-18,1,Legal Counsel
Valerie Du Plessis,Valerie Du Plessis,2024-07-04,2024-07-15,3,Analyst
Valerie Dufour,Valerie Dufour,2014-05-17,2015-01-22,3,"Deputy Director, Communications"
Valerie Fogarty,Valerie Fogarty,2019-12-05,2019-12-05,1,Parliamentary Assistant
Valerie Gideon,Valerie Gideon,2014-05-12,2025-05-28,82,Deputy Minister
Valerie Glazer,Valerie Glazer,2017-10-19,2022-08-31,8,"Director, Communications and Issues"
Valerie Glazier,Valerie Glazier,2023-07-18,2023-07-18,1,Director of Communications and Issues Management
Valerie Gordon,Valerie Gordon,2019-08-28,2019-08-28,1,Assistant Deputy Minister
Valerie Gosselin,Valerie Gosselin,2021-10-25,2021-10-25,1,"Manager, Intergovernmental Cooperation"
Valerie Hopper,Valerie Hopper,2022-11-24,2023-11-29,4,Senior Advisor
Valerie Hughes,Valerie Hughes,2009-06-22,2009-06-22,1,Assistant Deputy Minister and Counsel
Valerie Labelle,Valerie Labelle,2023-04-27,2023-12-12,2,Policy Analyst
Valerie Laflamme,Valerie Laflamme,2019-12-05,2025-04-30,46,Associate Vice President
Valerie Lagace,Valerie Lagace,2012-05-16,2021-05-27,4,Senior General Counsel and Secretary
Valerie Landry,Valerie Landry,2023-02-22,2023-02-22,1,Partnerships Program Manager
Valerie Latraverse,Valerie Traverse,2011-01-11,2022-12-19,6,"Vice President, Corporate Affairs"
Valerie Legace,Valerie Legace,2022-11-03,2022-11-03,1,Senior General Counsel
Valerie Leinan,Valerie Leinan,2015-03-06,2015-03-06,1,Manager
Valerie Lupien,Valerie Lupien,2016-09-01,2016-09-01,1,Constituency Assistant
Valerie Momo,Valerie Momo,2020-05-26,2020-05-26,1,Executive Assistant
Valerie Plaskacz,Valerie Plaskacz,2014-11-12,2014-11-12,2,"Manager, Distribution and Access Policy"
Valerie Traverse,Valerie Traverse,2021-12-08,2025-05-21,36,"Vice President, Corporate Affairs"
Valerie Verrier,Valerie Verrier,2015-03-11,2016-01-14,2,Senior Advisor
Valerie Wolf,Valerie Wolf,2022-04-27,2022-04-27,1,Policy Advisor
Valerie Wutti,Valerie Wutti,2009-11-30,2009-11-30,1,Executive Director
Valeriya Staykova,Valeriya Staykova,2015-10-15,2022-01-28,5,Lead Auditor
Valery Mattias,Valery Mattias,2023-10-18,2023-10-18,1,Senior Policy Analyst
Valessa Leblanc,Valessa Leblanc,2024-09-24,2024-09-24,2,"Director, Constituency"
Vallier Simard,Vallier Simard,2018-08-14,2024-09-10,13,Manager
Van Hemmen David,Van Hemmen David,2013-11-21,2013-11-21,1,Policy Advisor
Van Kesteren,Van Kesteren,2010-09-21,2010-09-21,2,Member of Parliament
Van Loo James,Van Loo James,2025-03-21,2025-03-21,1,Director of Operations
Vanada Katar-miller,Vanada Katar-miller,2016-03-09,2016-03-09,1,Director of Policy
Vanada Kattar,Vanada Kattar,2018-12-12,2018-12-12,1,"Deputy Director, Outreach"
Vanamberg Linda,Vanamberg Linda,2014-07-24,2014-07-24,1,Senior Policy Analyst
Vance Badaway,Vance Badawey,2016-02-03,2025-01-21,55,Member of Parliament
Vance Badawey,Vance Badawey,2016-01-05,2025-03-21,579,Member of Parliament
Vance Badeway,Vance Badeway,2016-10-25,2024-11-29,7,Member of Parliament
Vance Badewey,Vance Badawey,2019-02-04,2019-02-04,1,Member of Parliament
Vance Chow,Vance Chow,2014-12-10,2014-12-10,1,Communication Officer
Vance Lockton,Vance Lockton,2015-01-19,2016-03-23,5,Senior Regional Analyst
Vandan Patel,Vandan Patel,2023-07-25,2023-07-25,1,Constituency Assistant
Vandana Fatima Katar,Vandana Fatima Kattar,2016-02-05,2016-02-05,1,Director of Policy
Vandana Fatima Kattar,Vandana Fatima Kattar,2014-07-11,2016-01-18,2,Director of Policy
Vandana Kattar,Vandana Kattar,2016-02-23,2022-04-04,5,"Deputy Director, Outreach"
Vandana Kattar Miller,Vandana Kattar-millar,2016-05-04,2016-05-12,2,Director of Policy
Vandana Kattar-millar,Vandana Kattar-millar,2016-03-17,2016-11-03,2,Director of Policy
Vandana Kattar-miller,Vandana Kattar-miller,2015-12-17,2022-04-08,68,Director of Policy
Vandana Katter-miller,Vandana Katter-miller,2016-03-23,2016-03-23,2,"Director, Policy Affairs, Regional Economic Development"
Vandana Kattra-killer,Vandana Kattra-killer,2017-02-02,2017-02-02,1,"Director, Policy Affairs Regional Economic Development"
Vandana Lattar-miller,Vandana Lattar-miller,2016-07-05,2016-07-05,1,"Director, Policy Affairs"
Vandenbeld Anita,Vandenbeld Anita,2020-09-17,2020-09-17,1,Member of Parliament
Vanderveer Samuel,Vanderveer Samuel,2013-06-13,2013-06-13,1,Policy Advisor
Vanessa Adams,Vanessa Adams,2017-10-19,2020-06-02,17,"Special Assistant, Planning and Operations"
Vanessa Albiou,Vanessa Albiou,2021-12-03,2021-12-03,1,Performance Audit Professional
Vanessa Alboiu,Vanessa Alboiu,2021-05-20,2021-05-20,1,"Assistant Deputy Minister, VFM 0D"
Vanessa Anstead,Vanessa Anstead,2020-10-05,2020-10-05,1,Visits Officer
Vanessa Blair,Vanessa Blair,2019-04-10,2023-03-21,6,Senior Program Officer
Vanessa Brochet,Vanessa Brochet,2020-01-30,2020-01-30,1,Executive Director General
Vanessa Bursey,Vanessa Bursey,2017-03-06,2023-04-17,3,Staffer to Member of Parliament
