raw name,cleaned name,first_appearance,last_appearance,count,title
W Easter,W Easter,2015-12-21,2015-12-21,1,Member of Parliament
W. Davern Jones,W. Davern Jones,2016-10-19,2016-10-19,1,Senior Associate Deputy Minister
W. David Angus,David Angus,2011-02-07,2011-11-02,2,Senator
W. Jones,W. Jones,2016-11-14,2017-01-26,2,Senior Associate Deputy Minister
W.j. Kelly,W.J. Kelly,2009-06-14,2009-06-14,1,Director General
Waddell Erik,Waddell Erik,2011-01-25,2011-01-25,1,"Director, Communications"
Wade Aucoin,Wade Aucoin,2024-05-23,2024-07-10,3,"Acting Vice President, Policy, Programs and Communication"
Wade Coulter,Wade Coulter,2017-02-28,2019-03-07,7,Industrial Technology Advisor
Wade Daley,Wade Daley,2013-09-13,2016-03-16,6,Chief Technology Officer
Wade Mcmahon,Wade Mcmahon,2017-01-27,2017-01-27,1,Principal Analyst
Wade Myall,Wade Myall,2013-09-13,2024-10-17,2,Committee Coordinator
Wade Spurrel,Wade Spurrel,2014-07-07,2014-07-07,1,Director General
Wade Spurrell,Wade Spurrell,2015-11-30,2015-11-30,1,Assistant Commissioner
Wae Young,Wai Young,2011-11-30,2011-11-30,1,Member of Parliament
Wafa Raslan,Wafa Raslan,2019-02-15,2019-02-15,1,Trade Commissioner
Wahiba Rachedi,Wahiba Rachedi,2022-10-06,2022-10-06,2,Team Leader and Policy Analyst
Wahid Abdullah,Wahid Abdullah,2022-03-15,2022-03-15,1,Specialist
Wai Cooper,Wai Cooper,2013-08-25,2013-08-25,1,Member of Parliament
Wai Yougn,Wai Yougn,2015-03-11,2015-03-11,1,Member of Parliament
Wai Young,Wai Young,2011-09-21,2015-09-14,113,Member of Parliament
Waleed Iliyan,Waleed Iliyan,2018-09-27,2018-09-27,1,Senior Policy Analyst
Waleed Saleem,Waleed Saleem,2022-12-01,2024-08-02,13,Senior Regional Advisor
Walid Ben Tamarzizt,Walid Ben Tamarzizt,2024-09-27,2024-09-27,1,Manager
Wallace Fowler,Wallace Fowler,2023-07-06,2025-02-28,4,Director
